nama wisata,alamat,kabupaten,provinsi,harga_rp,kategori_harga,url_harga
Pantai Majapahit,"8JM9+VJW, Jl. Poros Batauga, Katilombu, Kec. Sampolawa, Kabupaten Buton, Sulawesi Tenggara 93752, Indonesia",Kabupaten Buton,Sulawesi Tenggara,5000.0,Murah,https://travel.kompas.com/read/2016/05/09/061032327/Pantai.Lembo.Tempat.Favorit.Warga.Buton.Mengisi.Akhir.Pekan
Wisata KAREDE (Permandian Air Hangat),"5XPJ+4GC, Jl. Ronta-Buranga, Een Sumala, Kec. Bonegunu, Kabupaten Buton Utara, Sulawesi Tenggara 93673, Indonesia",Kabupaten Buton Utara,Sulawesi Tenggara,3000.0,Murah,https://jambi.tribunnews.com/2018/06/09/tempat-wisata-baru-di-tebo-permandian-air-panas-sungai-bengkal-ini-harga-tiket-masuk
Bahari Nusantara Mosso Mario,"HVP9+94G, Mosso Dhua, Kec. Sendana, Kabupaten Majene, Sulawesi Barat 91452, Indonesia",Kabupaten Majene,Sulawesi Barat,5000.0,Murah,https://regional.kompas.com/read/2024/10/23/183545378/pantai-barane-majene-daya-tarik-aktivitas-dan-harga-tiket
Pantai Indah Pannara,"7QXC+82X, Empoang Sel., Kabupaten Jeneponto",Kabupaten Jeneponto,Sulawesi Selatan,5000.0,Murah,https://www.detik.com/sulsel/wisata/d-6896687/10-rekomendasi-tempat-wisata-di-jeneponto-untuk-liburan-seru
Tanjung Baloiya,"QCRW+R4W, Bontotangnga, Kab. Kepulauan Selayar",Kabupaten Kepulauan Selayar,Sulawesi Selatan,5000.0,Murah,https://travel.kompas.com/read/2025/05/23/082000927/harga-tiket-masuk-tn-baluran-terkini-hari-kerja-dan-libur-beda
Air Terjun Lagandang,"Unnamed Road, GQ2G+27X, Bamba Puang, Kec. Anggeraja, Kabupaten Enrekang, Sulawesi Selatan 91752, Indonesia",Kabupaten Enrekang,Sulawesi Selatan,-,-,-
Pantai Wisata Kendahe,"Pantai Wisata Kendahe, Kendahe I, Kendahe, Kabupaten Kepulauan Sangihe, Sulawesi Utara, Indonesia",Kabupaten Kepulauan Sangihe,Sulawesi Utara,10000,Sedang,https://www.lupalibur.com/tempat-wisata-kepulauan-sangihe
Pulau Terluar Indonesia,"HH5M+VJ, Miangas, Kabupaten Kepulauan Talaud, Sulawesi Utara, Indonesia",Kabupaten Kepulauan Talaud,Sulawesi Utara,3000.0,Murah,https://m.tribunnews.com/travel/2015/07/15/bentor-transportasi-di-kepulauan-talaud-sulut-tarifnya-bisa-berubah-tergantung-wajah-anda
Bukit Tinabitte,"FVRC+MFW, Tinabite, Kec. Lantari Jaya, Kabupaten Bombana, Sulawesi Tenggara, Indonesia",Kabupaten Bombana,Sulawesi Tenggara,-,-,-
Tepi Laut Mamuju,"8VCJ+V52, Rimuku, Kabupaten Mamuju, Sulawesi Barat, Indonesia",Kabupaten Mamuju,Sulawesi Barat,0.0,Gratis,https://travel.kompas.com/read/2021/10/26/160721427/itinerary-3-hari-2-malam-di-mamuju-sulawesi-barat-wisata-air-terjun-tamasapi
Air Terjun MATARUTUNG,"Jalan Trans Sulawesi, Trans bunta, Kec. Petasia, Kabupaten Morowali Utara, Sulawesi Tengah 94971, Indonesia",Kabupaten Morowali Utara,Sulawesi Tengah,5000.0,Murah,https://keluyuran.com/tempat-wisata-di-morowali/
KOLAM RENANG TIRTABARAS,"HC6G+F79, Jln. Nusalontar, Lelejae",Kabupaten Majene,Sulawesi Barat,5000.0,Murah,https://www.tiktok.com/discover/harga-tiket-kolam-renang-duta-garden
pantai pasir putih rangas,"CWJP+X35, Rangas Bar., Totoli, Kabupaten Majene",Kabupaten Majene,Sulawesi Barat,5000.0,Murah,https://regional.kompas.com/read/2024/10/23/183545378/pantai-barane-majene-daya-tarik-aktivitas-dan-harga-tiket
Destinasi digital Kampung Natal,"39HP+9QC, Tondok Bakaru, Kec. Mamasa, Kabupaten Mamasa, Sulawesi Barat 91362, Indonesia",Kabupaten Mamasa,Sulawesi Barat,5000,Murah,https://sulbar.tribunnews.com/2024/12/21/indahnya-wisata-kampung-natal-tondok-bakaru-mamasa-pernak-pernik-lampu-manjakan-mata-pengunjung
WISATA BUNGA BUKIT CINTA,"JGJM+3X3, Tenilo, Kec. Paguyaman, Kabupaten Boalemo, Gorontalo 96261, Indonesia",Kabupaten Boalemo,Gorontalo,10000.0,Sedang,https://travel.detik.com/fototravel/d-6727485/indahnya-wisata-hamparan-bunga-di-gorontalo
Monumen Tantangan Ewako,"Jl. Poros Tonasa No.2, Padoang Doangan, Kec. Pangkajene, Kabupaten Pangkajene Dan Kepulauan, Sulawesi Selatan 90614, Indonesia",Kabupaten Pangkajene Dan Kepulauan,Sulawesi Selatan,25000.0,Mahal,https://seringjalan.com/5-tempat-wisata-di-pangkajene-sulawesi-selatan/
Wisata pantai Losa,"Lebani, Kabupaten Mamuju",Kabupaten Mamuju,Sulawesi Barat,0.0,Gratis,https://www.prahu-hub.com/10-destinasi-wisata-di-mamuju/
Wisata Pasir Putih Makkerre,"GCFM+W5R, Jl. Poros Pinrang - Polman, Mirring, Kabupaten Polewali Mandar",Kabupaten Polewali Mandar,Sulawesi Barat,5000,Murah,https://sulsel.idntimes.com/travel/destination/5-wisata-pantai-di-polewali-mandar-ramai-dikunjungi-wisatawan-01-954ls-6dm4rb
Wisata Bahari Politani,"Wisata Bahari Politani, Mandalle, Pangkajene and Islands Regency, South Sulawesi 90655, Indonesia",Kabupaten Pangkajene Dan Kepulauan,Sulawesi Selatan,65000.0,Mahal,https://superapps.kompas.com/read/1358647/promo-tiket-masuk-wisata-bahari-lamongan-dan-maharani-zoo-and-goa-untuk-liburan-awal-tahun
Pantai Pondok Cinta,"V2P4+W27, Jalan, Motabang, Kec. Lolak, Kabupaten Bolaang Mongondow, Sulawesi Utara, Indonesia",Kabupaten Bolaang Mongondow,Sulawesi Utara,5000.0,Murah,https://travel.tribunnews.com/destinasi/141107/jam-buka-tiket-masuk-pantai-modisi-di-bolaang-mongondow-selatan-sulawesi-utara
Goa Latea,"6MV4+QR2, Tentena, Pamona Pusalemba, Kabupaten Poso, Sulawesi Tengah 94663, Indonesia",Kabupaten Poso,Sulawesi Tengah,10000.0,Sedang,https://travel.kompas.com/read/2025/05/20/200910127/bayar-tiket-masuk-danau-tambing-di-sulawesi-tengah-bisa-pakai-qris
Agrowisata Mekar Jaya Farm,"G5X7+F38, Unnamed Road, Duano, Kecamatan Suwawa Tengah, Kabupaten Bone Bolango, Gorontalo 96121, Indonesia",Kabupaten Bone Bolango,Gorontalo,-,-,-
Gunu Lambelu,"Gunu Lambelu, Konde, Kec. Kambowa, Kabupaten Buton Utara, Sulawesi Tenggara, Indonesia",Kabupaten Buton Utara,Sulawesi Tenggara,-,-,-
Buttu Dakka,"Buttu Dakka, Dakka, Kec. Tapango, Kabupaten Polewali Mandar, Sulawesi Barat, Indonesia",Kabupaten Polewali Mandar,Sulawesi Barat,5000.0,Murah,https://travel.detik.com/domestic-destination/d-4350031/liburan-santai-akhir-tahun-di-kali-biru-polewali-mandar
Buntu Tabuan,"Buntu Tabuan, Rinding Allo, Kec. Limbong, Kabupaten Luwu Utara, Sulawesi Selatan, Indonesia",Kabupaten Luwu Utara,Sulawesi Selatan,0.0,Gratis,-
Pantai Melasti Rayon Tambu,"Pantai Melasti Rayon Tambu, jl. pantai, tambu, Kec. Sausu, Kabupaten Parigi Moutong, Sulawesi Tengah 94473, Indonesia",Kabupaten Parigi Moutong,Sulawesi Tengah,-,-,-
Wisata Pemandian Air Panas Lombongo,"Jl. Taman Wisata, Lombongo, Kecamatan Suwawa Tengah, Kabupaten Bone Bolango, Gorontalo 96583, Indonesia",Kabupaten Bone Bolango,Gorontalo,5000.0,Murah,https://gorontalo.tribunnews.com/2024/01/28/kondisi-terkini-wisata-lombongo-gorontalo-kini-ada-tempat-spa-dan-sauna-hingga-foodcourt
KOTAMOBAGU,"Jl. Gatot Subroto, mongkonai induk, Kec. Kotamobagu Bar., Kota Kotamobagu, Sulawesi Utara, Indonesia",Kota Kotamobagu,Sulawesi Utara,0,Gratis,https://kelaswisata.id/wisata-di-kotamobagu/
