[INPUT]  D:\semester6\mc_learning\scrapt_wisata\image\..\hasil_scrap\wisata_sulawesi_cleaned_final.csv (2708 baris)
[ 2684] CARI: UD. divo sejaterah🌽 | Sulawesi -> OK  https://lh3.googleusercontent.com/gps-cs-s/APNQkAFp-cG3cNfN8Ye6jtvn9H0GWzhCGPj41...
[ 2685] CARI: Pantai Ria Kolongan Beha | Kepulauan Sangihe -> OK  https://lh3.googleusercontent.com/gps-cs-s/APNQkAH_KL7xLI-qz1xZKS_4IsceTBthCCiSU...
[ 2686] CARI: Wisata alam panapa | Morowali Utara -> OK  https://lh3.googleusercontent.com/gps-cs-s/APNQkAFyqp9uaFogKPZktIid2qfGlHts_VXsL...
[ 2687] CARI: Pantai kasosona | Buton -> OK  https://lh3.googleusercontent.com/gps-cs-s/APNQkAGLwmZ550luaiyHqIjUGA3wvCxj74o7i...
[ 2688] CARI: Bukit Emot | Buton -> OK  https://lh3.googleusercontent.com/gps-cs-s/APNQkAEnaaQW-DqvXE920EkWXxMaBW4sOOTfT...
[ 2689] CARI: Bukit Peca | Mamuju -> OK  https://lh3.googleusercontent.com/gps-cs-s/APNQkAFYFB7F19JjQMHUxG_6j6c7eFllMKwLe...
[ 2690] CARI: Pantai Gudang Arang | Gorontalo Utara -> OK  https://lh3.googleusercontent.com/gps-cs-s/APNQkAF4z81swuHXOjscHbqy2W51PDuiu6ON3...
[ 2691] CARI: Gunung bacukiki | Parepare -> OK  https://lh3.googleusercontent.com/gps-cs-s/APNQkAGtb5ay4hi4yGaONVqMaAhwNboYCGpJY...
[ 2692] CARI: Bukit Tongke Tongke ( Camping) | Sinjai -> OK  https://lh3.googleusercontent.com/gps-cs-s/APNQkAEssFXXvoSG3JE5zT-KB2xCxY-5_LT8w...
[ 2693] CARI: Air Terjun Regesan Tinoor | Tomohon -> OK  https://lh3.googleusercontent.com/gps-cs-s/APNQkAECfRehPc4nKtuXXG4XJ6NRpcycUMA-9...
[ 2694] CARI: GPDI Bukit Zaitun Hesang | Kepulauan Sangihe -> OK  https://lh3.googleusercontent.com/gps-cs-s/APNQkAHfADPGCEjS55U8c5Q5-4ufxadp68yyr...
