nama wisata,lokasi,kabupaten,provinsi,url_image
Losari Beach Platform,"Maloku, Jl. Penghibur, Losari, Kec. Ujung Pandang, Kota Makassar, Sulawesi Selatan 90113, Indonesia",Kota Makassar,Sulawesi Selatan,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGJhF-y_E_-JkBEXPJy2zaSIudVkCngXGOExTj-PRLvhU923H65-hvHciDLMmW3kBv-ASo2QcOGQrEDf8lQ9noMcoXM8cuOMLvtbKPLWRKGs6VUIleOcIlInFZvEzcUVzE0TLYo=w1200-h800-k-no
Benteng Rotterdam,"No.Road, Jl. Ujung Pandang, Bulo Gading, Kec. Ujung Pandang, Kota Makassar, Sulawesi Selatan 90171, Indonesia",Kota Makassar,Sulawesi Selatan,https://lh3.googleusercontent.com/gps-cs-s/APNQkAH3mUNaIXT8W5KIOigQdiEBMLgJHDsPgimdkLVRxkdcaV6xqD4pBO6LmpifIRcObB2bCmvI4dfBsXljr_08Ki4AS0W6yImda7Ej3IjEqA1aXBfuewnSTQFkBn0LbtIPdtWa4-aW_w=w1200-h800-k-no
Taman Nasional Bantimurung Bulusaraung,"5RXF+G9H, Bentenge, Sulawesi Selatan, Indonesia",Kabupaten Maros,Sulawesi Selatan,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEOcKePcx9v9SYA4FtVrRiQMKWqrTHua9tnlGG-fg3MnGigOjyVIygeT2YKdMMHKUJvAk7i22fn05L_ciqk-HTE6AB1FFrd9bBVibOk0MDblB_MHjEPikf8quaZAZzO88tqSX3X=w1200-h800-k-no
"Pantai Tak Berombak, PTB Maros","Jl. Crisant No.3 /C, Pettuadae, Kec. Turikale, Kabupaten Maros, Sulawesi Selatan 90516, Indonesia",Kabupaten Maros,Sulawesi Selatan,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHU89Bs11mY_XQEpcOU3ndA8nYpp6OyHnrlHgYC-qZG7aUqxvceyh0bYkxkj_b1tips3KaB-h-TGPB9kjUgJZgf9KOma27zIFnUIBu67Vs5_UN_dQCDDzbQTsu4Gjavg-wEsM2tXg=w1200-h800-k-no
Tongkonan Ke'te' Kesu',"Unnamed Road, 2W36+W6Q, Pantanakan Lolo, Kec. Kesu, Kabupaten Toraja Utara, Sulawesi Selatan 91834, Indonesia",Kabupaten Toraja Utara,Sulawesi Selatan,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFam6QeW79vhtKlFVW-GK6knfCgJm08LA3rB7r8NFK7ZL5KXZdMd-kO6dIC0_OB1xCnjwlw5ol3PWcjZNBc9U2ab64PkCynvbQ448Xebmf61LUJpdyen4kpH4__tYNf3kp5VbR5GQ=w1200-h800-k-no
Menara Keagungan Limboto,"Jl. Baso Bobihoe No.308, Kayubulan, Kec. Limboto, Kabupaten Gorontalo, Gorontalo 96214, Indonesia",Kabupaten Gorontalo,Gorontalo,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFigF5NDboN-iizDAMM58Bq6eqKhYufwspU0CNNQWH3YpooXgSyTRUT9LeGX0EpI1ZFGaiKryEqIRMQ8vHXqB2Z0Ht6Eb13DVi4fF4LF1zL6ggoU5UHGL2e_QEBc8voNmpXFa6XHw=w1200-h800-k-no
Taman Pakui Sayang,"Jl. A. P. Pettarani, Masale, Kec. Panakkukang, Kota Makassar, Sulawesi Selatan 90231, Indonesia",Kota Makassar,Sulawesi Selatan,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHua4cQlnWcl1sTPQDojxG2ADoXdjvyNVycOpLFX2Mx4i0B0ore6lPecpka386zJ18fBCE5IXsABaQzR1KxywbjB-fFvff5tGyeOpI1m4h5XZVuc6LPmbIV8ox4TIvNlzwDZ6GM0EbZHFNB=w1200-h800-k-no
Masjid Raya Makassar,"Gaddong, Jalan Masjid Raya, Bontoala",Kota Makassar,Sulawesi Selatan,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHmzc-j3KHgfH3PatBwV2U4afevCEd-G2ydG0RMH_Fel-X_wPJZ8C2lFhb-lz-HIPDalfjW_aEUMRfgK-69fY64JcLeDWeqLeqUokCYWOg3EC1toZvHd6McIR5IqFAFnaWj9s4=w1200-h800-k-no
Taman Vatulemo,"Jl. Balai Kota Timur Tanamodindi Mantikulore, Lapangan Vatulomo, Lolu Utara, Kec. Palu Sel., Kota Palu, Sulawesi Tengah 94111, Indonesia",Kota Palu,Sulawesi Tengah,https://lh3.googleusercontent.com/gps-cs-s/APNQkAG__yx5ymsFh_4BGT8ym7lQRf9SmELtgEK4kHyv1rRa35ZUnusPV6Aqv1RzmULikzjFZiLgoq6S1yeBNduSmlow3pyhMRS8koC6rhajobDOQlLqaQKKXafegxnqeuPBvu3DNVgcW8EwVkzP=w1200-h800-k-no
Monumen Cinta Sejati Habibie-Ainun,"XJPC+XR6 Lapangan Andi Makkasau, Jl. Karaeng Burane, Mallusetasi, Ujung, Parepare, South Sulawesi 91111, Indonesia",Kota Parepare,Sulawesi Selatan,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHQ6rY6toyYAHlD80udTvmKI5Jt3E8tRj-pmCm1wA70I96ykaaRnAasSrEPBiWIGgMSuKDjfDQblHEJxP05-gSiHpQog63l7AJJtYn3KDgppUJHWVnOJSI5STe_Mn1qQHZDS9rt=w1200-h800-k-no
Pantai Losari,"Jl. Somba OPU No.57, Maloku, Kec. Ujung Pandang, Kota Makassar, Sulawesi Selatan 90111, Indonesia",Kota Makassar,Sulawesi Selatan,https://lh3.googleusercontent.com/gps-cs-s/APNQkAER--ee_rMCGm-IjfwiiZ6qL6Ytjpy6zeq8vNGt0WhMYdLcJE3yMbvF0ireJLnC7j5L5NZNwQGh-u8W7MfY9CoEBUq0ldoXQ5sfEFuLW9K3TphBL4u_gNh_NNV4IxxzbjvCHUUr=w1200-h800-k-no
Tribun Pantai Seruni,"Tribun Pantai Seruni, Jl. Seruni, Pallantikang, Kec. Bantaeng, Kabupaten Bantaeng, Sulawesi Selatan 92411, Indonesia",Kabupaten Bantaeng,Sulawesi Selatan,https://lh3.googleusercontent.com/gps-cs-s/APNQkAF_ehY14B89tg2p4QUuG2ZyK9W14d6heaY7Sw_YiJqvVAcDswZvW4-8p80hptYC9w9YILvS9u0GTd5r1sTQ-nUIgw7crV1_lvt5OZYIqZIWUDFP5yjjMoyuTNUjJPZsGZzSLOb_=w1200-h800-k-no
Bugis Waterpark Adventure,"Jl. Raya Baruga No.1, Antang, Kec. Manggala, Kota Makassar, Sulawesi Selatan 90562, Indonesia",Kota Makassar,Sulawesi Selatan,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFHYd1ReGuIQxB4eq4l7ZysauYVhy1j1gRIGSxdjEzZVDeOTHMzWhqfYrSncw9I9ilT5JrsFO_bNgg_4TIBWDS3yA2kmRAf8ZuTsYH6S-cv6iZBIcDLlW08dyezAyrn7W21Bf_I=w1200-h800-k-no
Taman Kalong Watansoppeng,"MV2P+76Q, Botto, Kec. Lalabata, Kabupaten Soppeng, Sulawesi Selatan 90811, Indonesia",Kabupaten Soppeng,Sulawesi Selatan,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHkbZqPuYsDoSJq5xwktA-NImdG0MNuA2YzMa2S4fpYTXXjgZJLzdz-lc2rYa2si_EwoJ7i-mzwX-cEgG_BBvuHsjZ0UAcwq9uYWj0tbacAyku9ZLJHV3kcvru6wwNN5GnhSRtKIQ=w1200-h800-k-no
Patung Tuhan Yesus Memberkati,"WV38+WH5, Buntu Burake, Kec. Makale, Kabupaten Tana Toraja, Sulawesi Selatan 91817, Indonesia",Kabupaten Tana Toraja,Sulawesi Selatan,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFDgKhKr7lIm-ApSVOClda9MGqF0hiof-zZJJwP9fNRE-8S5y3938ZTpDUl-PUgfqYe1PM1GJ8CrKP86kGTldbxBcTIr582gqGC5pdta03i_Xplgvtoa0E-2RUGLBDXc62d-LS_=w1200-h800-k-no
Pantai Losari,"Pantai Losari, Sulawesi Selatan, Indonesia",Kota Makassar,Sulawesi Selatan,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHOW6bRe8OJhAKoSvy5oK4KnlbFAHXeYC6ooXDlaPh3mRsz6otfnNqArjOXjsuJU5VWROMjzKAan_WKqT4sJsy1VxLwrlhxOaxUt-u8yx5IcVGSAJ14Ox8vqnlDx8DkQzeTZFCb=w1200-h800-k-no
Tugu Zero Point,"FRRQ+7MJ, Jl. Jendral Sudirman, Pinaesaan, Kec. Wenang, Kota Manado, Sulawesi Utara, Indonesia",Kota Manado,Sulawesi Utara,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGqTuhuZNzrA3TByfdjOMtgJEw9zN_kVo-r0c_KJTSGM5jS1R5pQxEd95DMTOy54wOhCejMsxEcoqAnyJSp_jrW0avOLBpMH_2QOn8z6BIUEIDswyt69KEo2Ga3CpJ3MvsCq4QvDZFGJEzS=w1200-h800-k-no
Cinta Souvenir Bantimurung,"Kalabbirang, Kec. Bantimurung, Makassar, Sulawesi Selatan 90561, Indonesia",Kabupaten Maros,Sulawesi Selatan,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFDo4uiW77PBpjOva8xydQLejn7AzI_eQaFadgInXwvozCL8oLdkEQEkO4ZzuD0kMVDZ0AyxDDa7r8i9lEX8m2Zd3-GJrAskCSbxJXbsDOycWWOn-r4sHcadskkz54Iz_Vfd9YQbUmFHhu4=w1200-h800-k-no
"Lolai - To' Tombi, Negeri di atas awan","Lolai, Kec. Kapala Pitu, Kabupaten Toraja Utara, Sulawesi Selatan 91854, Indonesia",Kabupaten Toraja Utara,Sulawesi Selatan,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHJjmHC-orgz4p_f-_2Selfy4oM5FXsT_vo6AQ_SAMzuqIblRKO9lWMDNfJ32FUM_wdBj5tXIebCIVM1PLgTi88vodJjokbq5T2XvVtngq1x9ZwAMEV1Q8Xc2uOSQHzIL0CTjX4sg=w1200-h800-k-no
Pantai Bira Pasir Putih,"9FP5+7F2, Jalan Poros Jl. Pasir Putih Bira, Bira, Kec. Bonto Bahari, Kabupaten Bulukumba, Sulawesi Selatan 92571, Indonesia",Kabupaten Bulukumba,Sulawesi Selatan,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHBOSCEDYTJSK0SaI9a8RISjmrtdoiHJ9IoYUCZCCt5gaXHBXf65xjnWLHc6uC93nwjcYaVmytSUTEmnO2UA2qYefTuVPdpzILEf97JpqiGqARpKaWV506QiZOcI0pRMywriOhRUA=w1200-h800-k-no
Taman Gor,"4V3C+MW9, Jl. Chairil Anwar, Besusu Tengah, Kec. Palu Tim., Kota Palu, Sulawesi Tengah 94111, Indonesia",Kota Palu,Sulawesi Tengah,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFfyruioHxDjg-vI0x_DkEac5FiAEvaxpgD67NHAF49BbQ19LHx5ZPJKCLC5VHnqgbhizK3inU3NVrrSCK9Bc1gAExaDkci8QuBnC6kC-03h2U9IWW7xBwUmOd3SxBhwbq6o9Y=w1200-h800-k-no
Lolai Tongkonan Lempe,"Benteng Mamulu, Kec. Kapala Pitu, Kabupaten Toraja Utara, Sulawesi Selatan 91854, Indonesia",Kabupaten Toraja Utara,Sulawesi Selatan,https://lh3.googleusercontent.com/gps-cs-s/APNQkAH9LM4DW_MqUpe25dt9HnxMr1dClq2Nt7d4YbZwnuJcSS0GX_kx-SNbgFQuiuMyvvmu4K6RnredtiYNg3KkEtkQYziJjtgmleAtmS4131UydXb-_ovimoqrIxmXNM1yhM1eEpJqZGU_BHfy=w1200-h800-k-no
Monumen Yesus Memberkati,"CRQX+625, Jl. Monumen Yesus Memberkati, Winangun Satu, Kec. Malalayang, Kota Manado, Sulawesi Utara, Indonesia",Kota Manado,Sulawesi Utara,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEp0oazesvwgyL7L85xtm3k9GPS0QO0ryuJkXiv6BEaBv_tIL-Pxth3el0YFi-BdjN0dRcsGJKptHawsxDi_3h56o-RrTSXOViCTaU_wNINHRUZ0DacZRiAUXMCnsKCxMCB8GfC=w1200-h800-k-no
Wisata Kebun Gowa,"Jl. Malino, Bontomanai, Kabupaten Gowa",Kabupaten Gowa,Sulawesi Selatan,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFxVHgVbDjuaCSHmGSpT7eAlg2vO3yQ8DtTw3U4AgPvkfY2FfiHt1E2mVeEIxv_Mx5YLYBpJx4lNKcuEE62-gmCfaAm4WvY8kkhsXAeoogs6gIVjW1ZTnAed9qByt1DktbS4jKF=w1200-h800-k-no
Taman Nasional Bunaken,"Pelabuhan Marina plazaa, Manado City, North Sulawesi, Indonesia",Kota Manado,Sulawesi Utara,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGIBXWXrsq_HLMS-cQByvK6xesSq3FoJTxZVr9yeEmxqoh2dgdyJfJIpDvurR7WOlISACpZfk8yNe6W7HjbwKx9ZBCBXtf9cQTU4aFqbmnIFQCvqgNNDGCIoo3vsg-08atp788aFA=w1200-h800-k-no
Taman Kota Kendari,"2GG7+H6G, Mandonga, Kec. Mandonga, Kota Kendari, Sulawesi Tenggara 93111, Indonesia",Kota Kendari,Sulawesi Tenggara,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFBuQaPBLikU5HEBFc7n6AtsVui4lmE5GG_r7EhtSZXndrvCWb12Z_iN9P1vk_w1paIN8Np8AIZyJCP6vxi8yHbLmY1i0K2u3IRuaKi7UTKLElOkafp540E2vR4LBCkIf6hue6z=w1200-h800-k-no
Malino highlands,"Pattapang, Kec. Tinggimoncong, Kabupaten Gowa, Sulawesi Selatan 92171, Indonesia",Kabupaten Gowa,Sulawesi Selatan,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHG6IECX_n6I04Se-CUNMHTYsiVX_V1O3BJjbyaokJ6jGEz8YR8KQfSCQTKTRKMqc4aK_IBLxvvTH8rFatXG8NtK631lC7uIs5CXiqfA9PWDAvtYX4EYP9-8nPc_IgUe9vdFZRN=w1200-h800-k-no
Pantai Akkarena,"Pantai Akkarena, Jalan Tanjung Bunga, Tj. Merdeka, Kec. Tamalate, Kota Makassar, Sulawesi Selatan 90224, Indonesia",Kota Makassar,Sulawesi Selatan,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFQ_woI5-vN38rWnaoUoz7F_wD2rL-BCSEW83CIwhYNytojSR5WNNX1o3O-bPoM2VkyiihyFyvY527oECc330HBy4c24G_ajroircmNluHxFZCDUEp5j0geeCJfNf6rmtE98Q8DcA=w1200-h800-k-no
Taman Macan,"VC75+P5P, Jl. Sultan Hasanuddin, Bulo Gading, Kec. Ujung Pandang, Kota Makassar, Sulawesi Selatan 90171, Indonesia",Kota Makassar,Sulawesi Selatan,https://lh3.googleusercontent.com/gps-cs-s/APNQkAE3MbMSmwV1Kc9MxRlYKy4OhqMvw6-qWCwEU_aH4oU95QxREEHaBCtf1IMzqsyuIDKvnrjVEGDT9y2I1lMSRg1OiAxj3TnIv6_tEsdn-FU1RA6XTVL6XVIzBKw3NRZkFDLCwuc=w1200-h800-k-no
Kampoeng Karst Rammang Rammang,"Salenrang, Rammang Rammang, Bontonlempangan, Kec. Bontoa, Kabupaten Maros, Sulawesi Selatan 90561, Indonesia",Kabupaten Maros,Sulawesi Selatan,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGkPwrbMwMWISZ3NHfLFwUIEc1IjMaEdYe0A-W7qQySBcE-fb53LP5swsCj4SWoiwc5x7mvELRpQ14pvwbfQSiSvY8tL5SU9Zdh7nWb_nAF5xY7tRxUyxU-xVha1ycBwwbZliQCvhdQJljJ=w1200-h800-k-no
Lasinrang Park,"Jl. Dr. Wahidin Sudiro Husodo, Jaya, Kec. Watang Sawitto, Kabupaten Pinrang, Sulawesi Selatan 91213, Indonesia",Kabupaten Pinrang,Sulawesi Selatan,https://lh3.googleusercontent.com/gps-cs-s/APNQkAErQ5jKvSKLF6CZbnysnO9ufHibToNOlqfVSHA8WPtGYfwal86wLr3LuEt10r166t72aE_qMbvxND1nMeMgXImQUg9YVsRzfr_SN27kQKZiNlxpGDiKhdFF2NqVjUHKGChCuX3okA=w1200-h800-k-no
Tebing Apparalang,"FC6X+XRG, Ara, Kec. Bonto Bahari, Kabupaten Bulukumba, Sulawesi Selatan, Indonesia",Kabupaten Bulukumba,Sulawesi Selatan,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGzgGUNR3BCNErP4tTQR1HSmbTLR5YwGYF2qp-qDSEjAlz-fti5mQTX9sOkQavu2Tkxp-6_G3RdKwvGcDVmnArQwjAxAcxUx6-RBF68ZBu-RY0XtpG0wlh0NLWNWq3sUqY6NqCrjQ=w1200-h800-k-no
Taman Nasional Bantimurung Bulusaraung,"Jln. Poros Maros-Bone Km.12, Kalabbirang, Bantimurung, Kalabbirang, Kec. Bantimurung, Kabupaten Maros, Sulawesi Selatan 90561, Indonesia",Kabupaten Maros,Sulawesi Selatan,https://lh3.googleusercontent.com/gps-cs-s/APNQkAF_ww77eYw715RkK4c2CbQZwWIgVF50edKYnMJDLKvZEU-edcg4gmzjlzfSl27rN_bVdhw40ILuIOadK1l5lR5bszqbUIysBNpsNNPYsxc3S5dukn7sRHRESu9FLMy0Qq95WOZ0WQ=w1200-h800-k-no
Masjid Kubah 99,"Jl. H. Bau No.36, Kunjung Mae, Kec. Mariso, Kota Makassar, Sulawesi Selatan 90125, Indonesia",Kota Makassar,Sulawesi Selatan,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHtGoGwc4PUrS6TlQ-yvI1FF-r8TOpyVdp8rGG4bexncDwDUsiU9jqTTmCWS62i9c3Ip8SOaFGbkOY13MZyCcNj20IQhfXyPZepjlh8Rekm1PdxGrgC4z89nHAKCYaezZwEV5SI1v_OHhB3=w1200-h800-k-no
Taman Musafir,"Padoang Doangan, Kec. Pangkajene, Kabupaten Pangkajene Dan Kepulauan, Sulawesi Selatan 90614, Indonesia",Kabupaten Pangkajene Dan Kepulauan,Sulawesi Selatan,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHqEVwWSw_1S8vZiqMHtSsL9GyTjn7vwNe4xpzw4zF9FnWVF9JGyNNXGDcva7v-pP8ahIILwLmw8VphPUN7vJx9Wyg2stjZsnnjFaoHvTW3xXndDKHL-vDHlEo9vZcXHbWQ7XQvGg=w1200-h800-k-no
Taman Arkeologi Leang Leang,"2MFF+2M6 Ktr. Kelurahan Leang Leang, Leang-Leang, Kec. Bantimurung, Kabupaten Maros, Sulawesi Selatan 90561, Indonesia",Kabupaten Maros,Sulawesi Selatan,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEmXOEMgnh__ZIF5vLx6ZCQSEO0b8BwY261Bj3NsOXrRJz6H1MBPdd9M9J9NWHYLiuyXZaJ_oYocghN39xTmehZ8TAg_mxfcVnDy8PO3YX2l7cGfTgUVrxAAabiVzFampGClz2SPg=w1200-h800-k-no
Tonrangeng Riverside,"XJ3G+292, Lumpue, Kec. Bacukiki Bar., Kota Parepare, Sulawesi Selatan 91123, Indonesia",Kota Parepare,Sulawesi Selatan,https://lh3.googleusercontent.com/gps-cs-s/APNQkAERGIx3P09ysrWfHDnQGy-bLSZ5HyZ1PtJRfzjGDMGwt6akYIX08xZAjB_BSE8bOvXOkJPrA22aQF0OIUHIkoFmUzFJ3XY5bCxX8tGraD-lv8VQOw3ji3nKs_9HYK1ED6kx7Q7C=w1200-h800-k-no
Taman Wisata Alam Lejja,"Jl. Poros Lejja, Bulue, Kec. Marioriawa, Kabupaten Soppeng, Sulawesi Selatan 90852, Indonesia",Kabupaten Soppeng,Sulawesi Selatan,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFEPf0Kzc2kuxYis_33LRaLkpRlbnLcfNIM32Ux1etwXVmd4d_OKwneUNAybkfS9L3iCizOI79EcJOuE2EWUE6RrSgDwXwQh9-NTTjNiKqlZ1sc0A3oChFbImuhZgQ5r1PvWZ1W=w1200-h800-k-no
Space iklan 5x10. Anjungan Pantai Manakarra,"Anjungan Pantai Manakarra, Jl. Yos Sudarso, Binanga, Kec. Mamuju, Kabupaten Mamuju, Sulawesi Barat 91511, Indonesia",Kabupaten Mamuju,Sulawesi Barat,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGSWDiWAaGxFdvj91YfjWwSy7eJjrrnLtrhTHv2SqyrD-s8PkXsvGeELovWf7cCATrLHZ_7i8Lh20n0QU1jAWi3_MRBkzRnXyX6vWVqdECVS9vwYN6nsEZW8ie38TCgwFf-jUUYVEtnLLSR=w1200-h800-k-no
Pantai Paal,"Pantai Paal, Kec. Likupang Tim., Kabupaten Minahasa Utara, Sulawesi Utara, Indonesia",Kabupaten Minahasa Utara,Sulawesi Utara,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGKSI-OI3jmT-N-F7CUlSgva_1zxv7iAQvTlTE3NKXrE5NK5C4npshrklJp7HHHddJbqVxvMKrlQvQt0S9yZA4wxwxXWFwaKgnZhz_X7Q6xnCIo_pUlFx38EJfgq-RHgP8yk-fnnA=w1200-h800-k-no
Masjid Al Markaz Al Islami Maros,"XHMF+J7C, Desa Jalan Butta Toa, Pettuadae",Kabupaten Maros,Sulawesi Selatan,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFqoRTDlqOsL_cBiveCYNvVnc4Ou1pm2Lh2KkY_1T6_C_Yoz8OlHXbANEyDa-4h-UiTF2u86Gxcyg-xcYzLW9XbwT0F-tpp4Nz9-N8IVDgdMYppv9Xc7YvzNclz4VMF4I-wJdsg=w1200-h800-k-no
Museum Balla Lompoa,"Jl. K. H. Wahid Hasyim No.39, Sungguminasa, Kec. Somba Opu, Kabupaten Gowa, Sulawesi Selatan 92111, Indonesia",Kabupaten Gowa,Sulawesi Selatan,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHsVWP-J9tXwz4W0ZK8Jm-LKdebjzAhCTRmx5hd8a_uhLf9BYS75A7nSDtgEvtE7ZayPI7zejV03MyuKETbUNkFXE9j5eX0HKWRMVeWA4Wv91gaxtrmpj7NuVWpd3Bp1YczeAiM8A=w1200-h800-k-no
Londa Ancient Graveyard,"Lembang Sangbua, XVPG+483, Kesu, Tadongkon, Kec. Kesu, Kabupaten Toraja Utara, Sulawesi Selatan 91852, Indonesia",Kabupaten Toraja Utara,Sulawesi Selatan,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHd-x3tb1r8WFOq7-CHrqe1fzS3YSvxYgseCmVO4yZiyCFmwmkNoz6LyjQYNvRxj8R9bmh07hQLXKbEWfYCLdhwTS5twxyykaIEJfbFoer3MOtyH-Ej8yI7WawxIc3d_DHiXURE2Q=w1200-h800-k-no
Taman Nasional Wakatobi,"CWPJ+J57, Lentea, Sulawesi Tenggara, Indonesia",Kabupaten Wakatobi,Sulawesi Tenggara,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEmmPGk0IZlFlJ3Zz5kDQ5tm5Tp-SnPJxgzNW61vy5Dgl79OAIetcg-MKQIn_4AWPSUq6t8kNr1AcWgoT8FBYXDzFHBHHool_JAO4EMhMaP5ldwPAGkbyyHkCibNWC-gDBpDJ0H1Q=w1200-h800-k-no
Pelabuhan Paotere,"Pelabuhan Paotere, Gusung, Kota Makassar, Sulawesi Selatan, Indonesia",Kota Makassar,Sulawesi Selatan,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEcfxDh8wB74LhQxUE8T7OjwKcpLlykLRc3eU3q4pQ5jTs3R3qZGdD6wbU-kULG1HjIJybpzA9ozBOindUitULIdf7BWcJFJaC5Cc3RL8D3_u5YRWYxsvUOiewfv7S4HjcdlPvz4A=w1200-h800-k-no
Pantai Tanjung Bira,"Pantai Tj. Bira, Sulawesi Selatan, Indonesia",Kabupaten Bulukumba,Sulawesi Selatan,https://lh3.googleusercontent.com/gps-cs-s/APNQkAH7TroT1UgciLPeCX_14XaqHedgluv0Xcz9D7nTGE1sehql_BNH3x0ULRKeUhUYfUpNGKVf3HIDMS8YhomDUnB-TcoXdAP3iYD_b87PO9vR3Na2S1eMakeeN_qqxELZEQDAtsfcmQ=w1200-h800-k-no
Air Terjun Takapala,"PVF5+HW, Bonto Lerung, Kec. Tinggimoncong, Kabupaten Gowa, Sulawesi Selatan 92174, Indonesia",Kabupaten Gowa,Sulawesi Selatan,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHZW5R7ZZPUeO-MqkUO24SGIEeyMccAxWRymgnr7OVF7B8RrozwGsq3TYIJi5pNPuwiJbAH6G7-JvbbxQJsHUMH1zz72pwj1Uqh3xFFMh0RW1FyWMrXh2M2Jjde8qpUoNhNI6w=w1200-h800-k-no
Benteng Otanaha,"Dembe I, Kec. Kota Bar., Kota Gorontalo, Gorontalo 96181, Indonesia",Kota Gorontalo,Gorontalo,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHt5lv7F-Jn1rVugP5OaomLHcit7b-DEeRgH8ocpu6MLrFrL5Qu96aG65c-ZzEwVVrMc2d0_QAA_nvEkKFGhqil4mVHztUjev0yiwCvSPkZZRWkyfRudq4O1qu2J7FVvUEfJswS=w1200-h800-k-no
Taman Mattirotasi,"XJHF+Q2X, Jl. Bau Massepe, Labukkang, Kec. Ujung, Kota Parepare, Sulawesi Selatan, Indonesia",Kota Parepare,Sulawesi Selatan,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEeNG1FHi9ZTQesKkndL48I8HT9mvNt5HEgP0bbXB39dcQdg2IuFYMKJbwz8bw09vbyc8R0O1sRKM20Ys1-MB7B7osO9cILAVY5klmuU4J94CqB3DAC45VcHM-g0fAkpNbaCDg=w1200-h800-k-no
Wisata Bahari Seafood Restaurant,"Bahu Mall Complex, Jl. Wolter Monginsidi No.1, Sulawesi Utara, Indonesia",Kota Manado,Sulawesi Utara,https://lh3.googleusercontent.com/gps-cs-s/APNQkAE5D5dszhORaicH5W3J5ne340eNrnP6KMNPvI0LVy5ZlTLpC0ro6z0vLXxGLHCNNZ77eYRyQpdktIA8Zq8eZ6h5pyG2zKa-MiU3lDs0btaWaPCxPmwGBTL5K2vm2W2y1KLGngRc=w1200-h800-k-no
Rumah Alam Manado Adventure Park,"Jl. Ring Road Jaga IX No.Km, RW.1, Maumbi, Kec. Kalawat, Kabupaten Minahasa Utara, Sulawesi Utara, Indonesia",Kabupaten Minahasa Utara,Sulawesi Utara,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEGJ0GyzwQ2v7SDot4k491OELeYaQllL4HP6OJlLHaBeRZ3ysnjtBwsEIXAkEOkRVMWkUoOntfKWYryq7_la5Vmqznnoz1uzjx2fv-ij6XqJdIiJy6DdLlEDuj0hj7KjsV3wVPP=w1200-h800-k-no
Alun Alun Kota Polewali,"Pekkabata, Kec. Polewali, Kabupaten Polewali Mandar, Sulawesi Barat 91311, Indonesia",Kabupaten Polewali Mandar,Sulawesi Barat,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEC4ZMNa4FJJVUJQAvouVIkDHS-8lWsTyD2kH6fLnGny4EiKQTpsHA0mC2MMYPtPNOXGa_8aEAE7bVvtzTOujKTmqfp5VL6E7u7a3IQM--fBVLlqzOWTn01tFJtuEvJ7NnLy34=w1200-h800-k-no
Wisata Pantai Topejawa,"Topejawa, Kec. Mangarabombang, Kabupaten Takalar, Sulawesi Selatan 92261, Indonesia",Kabupaten Takalar,Sulawesi Selatan,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGUKIovVtwmUmJGu_0HaF3IdB08UtC-AnsOey0APTw_7thQJcfARpgo7Sgj3PcSXbo7SpVlxtioqQyFtG1BACNmiI0tF3qcjrJ3gXOgUSfN1VqHzefWkUMcnfQEWN6AgX-GinMurg=w1200-h800-k-no
