nama wisata,lokasi,kabupaten,provinsi,url_image
Objek Wisata Pantai Mangaramba Beach,"4RG2+M79, Pulutan Sel., Kec. Pulutan, Kabupaten Kepulauan Talaud, Sulawesi Utara, Indonesia",Kabupaten Kepulauan Talaud,Sulawesi Utara,https://lh3.googleusercontent.com/gps-cs-s/APNQkAE47t5wg0fK6A3gaK8l5RxJkPzKn8denju1rHPCVbMN26yBzJ32ubOMife0hgAtk3xm7Tm7p1SVjOCwRk6Forb929ElIMhFMr6Ej34fzALxZKXcCcOO2dgwKYDKjWTS1XtrqP26=w1200-h800-k-no
Goa Tu'a Molangke Tombiano,"H25F+6X2, Tombiano, Kec. Tojo Bar., Kabupaten Tojo Una-Una, Sulawesi Tengah 94681, Indonesia",Kabupaten Tojo Una-Una,Sulawesi Tengah,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGNT6yKZ8B7wWxchI_Us7-iX_OtLO_zaCr-cQiQL3za9-kK3yRQinwYmgt7Gnv5jFCBYN7dd8Q3csZ9A85NLYnGOC8X8ePEG8suQ2UqrTMeAvvuGN442nKSOwsDwJLB9ct9Lpk1gw=w1200-h800-k-no
Air Terjun Pandakes,"VG73+WJF, Unnamed Road, Paranonge, Kec. Ulubongka, Kabupaten Tojo Una-Una, Sulawesi Tengah 94682, Indonesia",Kabupaten Tojo Una-Una,Sulawesi Tengah,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFXpKj-f_TK60TGPIVQZwqvQqh5i7NTA_7hQ4J1ydHXE0Yu0AUErxjxZySdxs_mCMRUC40sm2X90b-uPs2qu5pyEEEK-w6F2-vxlR80zN_QuypbD_CMZlLVuWUlLUfPu_7XgbeP=w1200-h800-k-no
Pantai Kacili Surabi,"JVC9+MC, Wosu, Kabupaten Morowali, Sulawesi Tengah, Indonesia",Kabupaten Morowali,Sulawesi Tengah,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHtrdlKEAujwpSmMupXPMjDhRn_GB6yLmG33zahIo2kXrTmQkpvuCIaOHyNqJvEfIT1UeEECESp2FtgOUD1biDhmcKKsNpRBBOVpkenafk5MXdf3LQhWetofPVbTfN8ljQ4K4m8OQ=w1200-h800-k-no
Wisata Alam Gua Pehabala,"RGCF+G52, Jl. Trans Sulawesi, Solonsa, Kec. Wita Ponda, Kabupaten Morowali, Sulawesi Tengah 94976, Indonesia",Kabupaten Morowali,Sulawesi Tengah,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGk0FJKYVEW_95IXHpChpFHC5dqbllUwqF1f0iLp6Xs2DZi7wYXB6a9PTHWW1NhzR7-uNf4w63nv4xAA8q2QS93kmiDO-ZSjqzOxHLxSbj0NO4YFmzES3roOgbfEsXAl7jwKGOT=w1200-h800-k-no
Masjid ldii gunung jati kendari,"2HMQ+PQ5, Lorong timur, RT.01/RW.03, Gn. Jati, Kec. Kendari, Kota Kendari, Sulawesi Tenggara 93116, Indonesia",Kota Kendari,Sulawesi Tenggara,https://lh3.googleusercontent.com/gps-cs-s/APNQkAG1InXy-JhdDVvCsKJidjMfve3ItAb6eOx4oMmCF80NptTZ1ZFSi35rj8h60rTWwxM1zW_iv3SAyEh5OuCCWqdwvo-PUcJGpGPv699xop0B2aCQLNTt61Nnz_KNYSm-QuZWSDns=w1200-h800-k-no
BUKIT BUSEL,"9JXH+P9, Masiri, Batauga, Kabupaten Buton, Sulawesi Tenggara, Indonesia",Kabupaten Buton,Sulawesi Tenggara,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGEEWOGrxgMOR4LotYuTQf1J0sTEBCdWiW3jGJ8wrbshAyhjPnX-Ki254_ppiR3OpOM-N_ndzQ4_BJTMfwAG4VP0Vdd3RlX2oeEYeB10LP0pkx-zO264GFprqBAHRNDyCNnY2JznA=w1200-h800-k-no
Pembuat minyak kelapa mandar,"FX7F+2RG, Jalan Pettaroni, Labuang",Kabupaten Majene,Sulawesi Barat,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHM2F1lXFPlT-rGb4PTIfZpcb-0J-MneVJQ8B1HTzz23iK5BfTL_7Ztx5At2HqusMdIKrUmLqiBIbq2d4b0v5jEjnWJqWGeind--Hl9QXKoXqeH4Nn57QRL9k9NbUWvF0b0K7sv1g=w1200-h800-k-no
Wisata Pantai leato utara,"G329+24G, Jl. R. Atje Slamet, Leato Utara, Kec. Dumbo Raya, Kota Gorontalo, Gorontalo 96119, Indonesia",Kota Gorontalo,Gorontalo,https://streetviewpixels-pa.googleapis.com/?cb_client\u003dmaps_sv.tactile
Serambi Madinah,"G3M3+PW8, Biawu, Kec. Hulonthalangi, Kota Gorontalo, Gorontalo 96133, Indonesia",Kota Gorontalo,Gorontalo,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFjUMrdydGz4arqrlVSmypD3KSm_3-HScJdi-uakKcPlJIk8Q8kJB-BNe43_4-FetDacPPtKeXG0mInYgwBfCeQHC6KJj-qhKoDS3RU0GQ4D_UGinLHRFEbESLof0ydFdPFxG4=w1200-h800-k-no
