idx,place_id,nama_wisata,old_alamat,new_alamat,old_kabupaten,new_kabupaten,old_provinsi,new_provinsi
1401,ChIJl1fzNiDEhy0RmrfPZAaC8ds,Karina Beach,"Gulf of Tomini, MV7X+XQ6, Kabupaten Tojo Una-Una, Sulawesi Tengah 94691, Indonesia","
MV7X+XQ6, Gulf of Tomini, Kabupaten Tojo Una-Una, Sulawesi Tengah 94691",Kabupaten Tojo Una-Una,Kabupaten Tojo Una-Una,Gorontalo,Sulawesi Tengah
1424,ChIJz4-zHscJiC0R3uAhrjQX78M,Colo,"Colo, Lembanya, Kec. Una-Una, Kabupaten Tojo Una-Una, Sulawesi Tengah, Indonesia","
Lembanya, Kec. Una-Una, Kabupaten Tojo Una-Una, Sulawesi Tengah",Kabupaten Tojo Una-Una,Kabupaten Tojo Una-Una,Gorontalo,Sulawesi Tengah
1469,ChIJzaOFpS2Lmi0R0hJBlHePsGg,Hutan Mangrove Tofuti,"CXQH+HF3, Unnamed Road, Bahontobungku, Kabupaten Morowali","
CXQH+HF3, Unnamed Road, Bahontobungku, Kec. Bungku Tengah, Kabupaten Morowali, Sulawesi Tengah 94973",Kabupaten Morowali,Kabupaten Morowali,Sulawesi Selatan,Sulawesi Tengah
1567,ChIJZ1tcmaqlmi0RDY2efSqfYlw,Pantai andewa,"QQ33+GP9, Wata, Kec. Bungku Bar., Kabupaten Morowali, Sulawesi Tengah, Indonesia","
QQ33+GP9, Wata, Kec. Bungku Bar., Kabupaten Morowali, Sulawesi Tengah",Kabupaten Morowali,Kabupaten Morowali,Sulawesi Selatan,Sulawesi Tengah
1579,ChIJ58KKI6WxfjIRB5QuyHRK1ZM,Situs wisata alam,"V57F+V6F, Tombulilato, Kec. Atinggola, Kabupaten Gorontalo Utara, Gorontalo 96253, Indonesia","
V57F+V6F, Tombulilato, Kec. Atinggola, Kabupaten Gorontalo Utara, Gorontalo 96253",Kabupaten Gorontalo Utara,Kabupaten  Utara,Sulawesi Utara,Gorontalo
1612,ChIJ89Yo4f-vdzIR0XgUSa5B5Qc,Pantai moian,"Unnamed Road, C29W+VV5, Palapi, Kec. Taopa, Kabupaten Parigi Moutong, Sulawesi Tengah 94479, Indonesia","
C29W+VV5, Unnamed Road, Palapi, Kec. Taopa, Kabupaten Parigi Moutong, Sulawesi Tengah 94479",Kabupaten Parigi Moutong,Kabupaten Parigi Moutong,Gorontalo,Sulawesi Tengah
1616,ChIJBUp2vAKjhi0R-WUy4hb597c,SAMUDERA DIVE OPERATOR,"3R53+WPM, Jalan Imam Bonjol, Bungin","
3R53+WPM, Jl. Imam Bonjol, Bungin, Luwuk, Kabupaten Banggai, Sulawesi Tengah 94711",Kota Manado,Kabupaten Banggai,Sulawesi Tengah,Sulawesi Tengah
1649,ChIJk4rfsJ_FkC0RRX24E-eQ3Bc,Air terjun pelangi desa tinuna,"X4VX+QX, Tinuna, Kec. Porehu, Kabupaten Kolaka Utara, Sulawesi Tenggara, Indonesia","
X4VX+QX, Tinuna, Kec. Porehu, Kabupaten Kolaka Utara, Sulawesi Tenggara 93955",Kabupaten Kolaka Utara,Kabupaten Kolaka Utara,Sulawesi Selatan,Sulawesi Tenggara
1650,ChIJhSvWmH-Diy0RI0Co6uLMqcE,Tampaure Beach,"2GW5+F8R, Tampaure, Kec. Bambaira, Kab. Pasangkayu, Sulawesi Barat 91574, Indonesia","
2GW5+F8R, Tampaure, Kec. Bambaira, Kab. Pasangkayu, Sulawesi Barat 91574",Kabupaten Pasangkayu,Kabupaten Pasangkayu,Sulawesi Tengah,Sulawesi Barat
1660,ChIJKZoHCx6Lmi0RKEHCoiIzEUE,Dermaga puungkoilu,"CX3Q+2XC, Dermaga, Puungkoilu, Kabupaten Morowali","
CX3Q+2XC, Dermaga, Puungkoilu, Kec. Bungku Tengah, Kabupaten Morowali, Sulawesi Tengah",Kabupaten Morowali,Kabupaten Morowali,Sulawesi Selatan,Sulawesi Tengah
1682,ChIJ6QGX-QuNmi0RjiIe7SL2Xvw,Hutan Mangrove,"FXF6+W4X, Matansala, Kec. Bungku Tengah, Kabupaten Morowali, Sulawesi Tengah 94973, Indonesia","
FXF6+W4X, Matansala, Kec. Bungku Tengah, Kabupaten Morowali, Sulawesi Tengah 94973",Kabupaten Morowali,Kabupaten Morowali,Sulawesi Selatan,Sulawesi Tengah
1784,ChIJ-aCv5Oiiky0R6_RIHywUKw0,Wisata Alam Pa' Baladoan,"2HXG+RMW, Kadundung, Kec. Masanda, Kabupaten Tana Toraja, Sulawesi Selatan 91856, Indonesia","
2HXG+RMW, Kadundung, Kec. Masanda, Kabupaten Tana Toraja, Sulawesi Selatan 91856",Kabupaten Tana Toraja,Kabupaten Tana Toraja,Sulawesi Barat,Sulawesi Selatan
1790,ChIJKwZOU3eFiy0R9-Opyc-twzo,Pantai Wisata Maponu,"3GFF+4CR, Maponu, Kec. Sarjo, Kab. Pasangkayu, Sulawesi Barat 91574, Indonesia","
3GFF+4CR, Maponu, Kec. Sarjo, Kab. Pasangkayu, Sulawesi Barat 91574",Kabupaten Pasangkayu,Kabupaten Pasangkayu,Sulawesi Tengah,Sulawesi Barat
1791,ChIJse172NKLmi0R5w2Hz1R9IDQ,Wisata Mangrove Tofuti,"CXQH+G55, Tofuti, Kabupaten Morowali","
CXQH+G55, Tofuti, Kec. Bungku Tengah, Kabupaten Morowali, Sulawesi Tengah 94973",Kabupaten Morowali,Kabupaten Morowali,Sulawesi Selatan,Sulawesi Tengah
1811,ChIJldYEoBu7mi0R_dRpLcULGrw,Pulau Karang Pasir Putih,"PRF7+4PF, Desa, Umpanga, Kabupaten Morowali, Indonesia","
PRF7+4PF, Desa, Umpanga, Kabupaten Morowali",Kabupaten Morowali,Kabupaten Morowali,Sulawesi Selatan,Sulawesi Selatan
1858,ChIJscl29fC3kS0RQwYmHxjazdQ,Sungai Malela,"Margolembo, Kec. Mangkutana, Kabupaten Luwu Timur, Sulawesi Selatan, Indonesia","
Margolembo, Kec. Mangkutana, Kabupaten Luwu Timur, Sulawesi Selatan 92973",Kabupaten Luwu Timur,Kabupaten Luwu Timur,Sulawesi Tengah,Sulawesi Selatan
1879,ChIJVY8BInEBkC0R7WVukznw3oo,TAMAN WISATA UNGKEYA BEACH,"VGJR+45G, Mohoni, Kec. Petasia, Kabupaten Morowali, Sulawesi Tengah, Indonesia","
VGJR+45G, Mohoni, Kec. Petasia, Kabupaten Morowali, Sulawesi Tengah",Kabupaten Morowali Utara,Kabupaten Morowali,Sulawesi Selatan,Sulawesi Tengah
1929,ChIJTaiytwxjlC0RV0Yp3gYNIM4,Air Terjun Sarambu Paremba,"Unnamed Road, GGJ2+JMR, Benteng Paremba, Kec. Lembang, Kabupaten Pinrang, Sulawesi Selatan 91254, Indonesia","
GGJ2+JMR, Unnamed Road, Benteng Paremba, Kec. Lembang, Kabupaten Pinrang, Sulawesi Selatan 91254",Kabupaten Pinrang,Kabupaten Pinrang,Sulawesi Barat,Sulawesi Selatan
1945,ChIJ_eCz4_JXeTIRJsRIAYqAlcU,Pantai Bengel,"Desa Mutiara Laut, Tanjung Karang, Kel. Tomilito, XX72+P75, Tj. Karang, Kec. Kwandang, Kabupaten Gorontalo Utara, Gorontalo 96252, Indonesia","
XX72+P75, Desa Mutiara Laut, Tanjung Karang, Kel. Tomilito, Tj. Karang, Kec. Kwandang, Kabupaten Gorontalo Utara, Gorontalo 96252",Kabupaten Gorontalo Utara,Kabupaten  Utara,Sulawesi Utara,Gorontalo
1953,ChIJH9ebhb7dkC0RPYSnhCAbjN8,Pasir Putih Tolala,"23R7+CMF, Bahari, Kec. Tolala, Kabupaten Kolaka Utara, Sulawesi Tenggara 93955, Indonesia","
23R7+CMF, Bahari, Kec. Tolala, Kabupaten Kolaka Utara, Sulawesi Tenggara 93955",Kabupaten Kolaka Utara,Kabupaten Kolaka Utara,Sulawesi Selatan,Sulawesi Tenggara
1962,ChIJ89XM40ilkS0R1667gMR0EZI,Wisata Alam Gua Batu Putih,"CJHW+Q7F, Unnamed Road, Lagego","
CJHW+Q7F, Unnamed Road, Lagego, Kec. Burau, Kabupaten Luwu Timur, Sulawesi Selatan 92975",Kota Bitung,Kabupaten Luwu Timur,Sulawesi Selatan,Sulawesi Selatan
1968,ChIJZ8pHCgCnmi0Rt6BM6aoWFFE,Pesona Bali,"QM8R+495, Lambelu, Kec. Bumi Raya, Kabupaten Morowali, Sulawesi Tengah 94976, Indonesia","
QM8R+495, Lambelu, Kec. Bumi Raya, Kabupaten Morowali, Sulawesi Tengah 94976",Kabupaten Morowali,Kabupaten Morowali,Sulawesi Selatan,Sulawesi Tengah
1988,ChIJNTiT6Vxfmi0RnS83gAzeEnY,"FATUTOKO,GERESA,BUNGKU TIMUR,MOROWALI","82HM+6C2, Geresa, Kec. Bungku Tengah, Kabupaten Morowali, Sulawesi Tengah, Indonesia","
82HM+6C2, Geresa, Kec. Bungku Tengah, Kabupaten Morowali, Sulawesi Tengah",Kabupaten Morowali,Kabupaten Morowali,Sulawesi Selatan,Sulawesi Tengah
2021,ChIJcdEnilCZiy0RJmcA9JD3UAM,Pantai Seribu Kelapa,"Sarude, Kec. Sarjo, Kab. Pasangkayu, Sulawesi Barat 91591, Indonesia","
Sarude, Kec. Sarjo, Kab. Pasangkayu, Sulawesi Barat 91591",Kabupaten Pasangkayu,Kabupaten Pasangkayu,Sulawesi Tengah,Sulawesi Barat
2022,ChIJY_Fw9zb1mi0RK3H-K0y13ls,Poentjak Unsongi Indah,"92H3+56, Unsongi, Kabupaten Morowali","
92H3+56, Unsongi, Kec. Bungku Timur, Kabupaten Morowali, Sulawesi Tengah",Kabupaten Morowali,Kabupaten Morowali,Sulawesi Selatan,Sulawesi Tengah
2078,ChIJdVvzP6uNmi0RqXA76Rolatw,Pantai Matano,"FX7C+27, Matano, Kec. Bungku Tengah, Kabupaten Morowali, Sulawesi Tengah, Indonesia","
FX7C+27, Matano, Kec. Bungku Tengah, Kabupaten Morowali, Sulawesi Tengah",Kabupaten Morowali,Kabupaten Morowali,Sulawesi Selatan,Sulawesi Tengah
2091,ChIJMUr892h9lC0RE8Q1SKsPFs0,Air Terjun Sali Sali,"Unnamed Road, JF59+GF9, Sali Sali, Kec. Lembang, Kabupaten Pinrang, Sulawesi Selatan 91254, Indonesia","
JF59+GF9, Unnamed Road, Sali Sali, Kec. Lembang, Kabupaten Pinrang, Sulawesi Selatan 91254",Kabupaten Pinrang,Kabupaten Pinrang,Sulawesi Barat,Sulawesi Selatan
2109,ChIJTf66uL6Lmi0RyNbvM6b6N48,Kolongko Beach,"CX8P+C4, Tudua, Kec. Bungku Tengah, Kabupaten Morowali, Sulawesi Tengah, Indonesia","
CX8P+C4, Tudua, Kec. Bungku Tengah, Kabupaten Morowali, Sulawesi Tengah",Kabupaten Morowali,Kabupaten Morowali,Sulawesi Selatan,Sulawesi Tengah
2121,ChIJQXtLZXbZmy0Rj-PLs0LyUg4,Desa Bungintende,"VH3R+PV9, Bungintende, Kec. Bungku Sel., Kabupaten Morowali, Sulawesi Tengah, Indonesia","
VH3R+PV9, Bungintende, Kec. Bungku Sel., Kabupaten Morowali, Sulawesi Tengah",Kabupaten Morowali,Kabupaten Morowali,Sulawesi Tenggara,Sulawesi Tengah
2122,ChIJr9r7k2iSmi0RcnmJ9LWcDZw,Pantai FONUASINGKO,"GWCQ+Q5V, Jl. Trans Sulawesi, Bente, Kec. Bungku Tengah, Kabupaten Morowali, Sulawesi Tengah 94973, Indonesia","
GWCQ+Q5V, Jl. Trans Sulawesi, Bente, Kec. Bungku Tengah, Kabupaten Morowali, Sulawesi Tengah 94973",Kabupaten Morowali,Kabupaten Morowali,Sulawesi Selatan,Sulawesi Tengah
2136,ChIJl3MaPQBDmi0Re2sIej5Lq28,Bukit CNGR,"62FF+68, Dampala, Kec. Bahodopi, Kabupaten Morowali, Sulawesi Tengah, Indonesia","
62FF+68, Dampala, Kec. Bahodopi, Kabupaten Morowali, Sulawesi Tengah 94973",Kabupaten Morowali,Kabupaten Morowali,Sulawesi Selatan,Sulawesi Tengah
2141,ChIJs4hAFPfHkC0RmvDACFB3iHw,Air Terjun Sarambu,"X6JV+J67, Sarambu, Kec. Porehu, Kabupaten Kolaka Utara, Sulawesi Tenggara 92981, Indonesia","
X6JV+J67, Sarambu, Kec. Porehu, Kabupaten Kolaka Utara, Sulawesi Tenggara 92981",Kabupaten Kolaka Utara,Kabupaten Kolaka Utara,Sulawesi Selatan,Sulawesi Tenggara
2163,ChIJw-uwPa7nji0Rpf1n41OeeX8,Bahamast Cottage,"JQQV+63G, Jalan Trans Sulawesi, Madale","
JQQV+63G, Jl. Trans Sulawesi, Madale, Kec. Poso Kota Utara, Kabupaten Poso, Sulawesi Tengah 94615",Kabupaten Kolaka,Kota Utara,Sulawesi Tengah,Sulawesi Tengah
2194,ChIJCSKut0yLmi0Rj5ANY8j6UT8,Tangga Pelangi Desa Puungkoilu,"Tangga Pelangi, Puungkoilu, Kec. Bungku Tengah, Kabupaten Morowali, Sulawesi Tengah 94973, Indonesia","
Tangga Pelangi, Puungkoilu, Kec. Bungku Tengah, Kabupaten Morowali, Sulawesi Tengah 94973",Kabupaten Morowali,Kabupaten Morowali,Sulawesi Selatan,Sulawesi Tengah
2259,ChIJT67vmB2Hiy0RM7y_gZUyP9Q,Wisata air terjun Bambatunu Kalukunangka,"2G2Q+GW, Kaluku Nangka, Kec. Bambaira, Kab. Pasangkayu, Sulawesi Barat, Indonesia","
2G2Q+GW, Kaluku Nangka, Kec. Bambaira, Kab. Pasangkayu, Sulawesi Barat 91574",Kabupaten Pasangkayu,Kabupaten Pasangkayu,Sulawesi Tengah,Sulawesi Barat
2286,ChIJa6C7bcZfmi0RNM14anm5OZc,Wisata Alam Goa Lembono Mata,"82VH+29V, Laroue, Kec. Bungku Tengah, Kabupaten Morowali, Sulawesi Tengah 94973, Indonesia","
82VH+29V, Laroue, Kec. Bungku Tengah, Kabupaten Morowali, Sulawesi Tengah 94973",Kabupaten Morowali,Kabupaten Morowali,Sulawesi Selatan,Sulawesi Tengah
2353,ChIJGz9E0j-Nmi0R4x3N9kDzmB8,Aula Wisata Mangrove Matansala,"FXG6+WHR, Matansala, Kec. Bungku Tengah, Kabupaten Morowali, Sulawesi Tengah, Indonesia","
FXG6+WHR, Matansala, Kec. Bungku Tengah, Kabupaten Morowali, Sulawesi Tengah",Kabupaten Morowali,Kabupaten Morowali,Sulawesi Selatan,Sulawesi Tengah
2362,ChIJWSBdBACXmi0RRO6ffNjesIw,Pantai Bahotonsu,"HVXF+GJ4, Bahoea Reko Reko, Kec. Bungku Bar., Kabupaten Morowali, Sulawesi Tengah 94976, Indonesia","
HVXF+GJ4, Bahoea Reko Reko, Kec. Bungku Bar., Kabupaten Morowali, Sulawesi Tengah 94976",Kabupaten Morowali,Kabupaten Morowali,Sulawesi Selatan,Sulawesi Tengah
2377,ChIJxbwArpaXmi0R1okg3wN7MQ4,Pantai Kacili Surabi,"JVC9+MC, Wosu, Kabupaten Morowali, Sulawesi Tengah, Indonesia","
JVC9+MC, Wosu, Kabupaten Morowali, Sulawesi Tengah",Kabupaten Morowali,Kabupaten Morowali,Sulawesi Selatan,Sulawesi Tengah
2378,ChIJS-u63MEFkC0RmWEccuilIm8,Wisata Alam Gua Pehabala,"RGCF+G52, Jl. Trans Sulawesi, Solonsa, Kec. Wita Ponda, Kabupaten Morowali, Sulawesi Tengah 94976, Indonesia","
RGCF+G52, Jl. Trans Sulawesi, Solonsa, Kec. Wita Ponda, Kabupaten Morowali, Sulawesi Tengah 94976",Kabupaten Morowali,Kabupaten Morowali,Sulawesi Selatan,Sulawesi Tengah
2392,ChIJtUTeN9-pmi0R9ZStfz39CMI,Wisata Pantai Bahumbelu,"RM8M+6RV, Umbele, Kec. Bumi Raya, Kabupaten Morowali, Sulawesi Tengah, Indonesia","
RM8M+6RV, Umbele, Kec. Bumi Raya, Kabupaten Morowali, Sulawesi Tengah",Kabupaten Morowali,Kabupaten Morowali,Sulawesi Selatan,Sulawesi Tengah
2474,ChIJu9dFA1jwjy0RGlyJj4cls6Y,Pantai Nanaka,"3F8P+WJR Pantai Nanaka, Kec. Bungku Utara, Kabupaten Morowali, Sulawesi Tengah, Indonesia","
3F8P+WJR Pantai Nanaka, Kec. Bungku Utara, Kabupaten Morowali, Sulawesi Tengah",Kabupaten Morowali,Kabupaten Morowali,Sulawesi Selatan,Sulawesi Tengah
2520,ChIJHQUNoJyXmi0RXa1NeLK48IM,Bukit ilham Wosu,"Wosu, Kec. Bungku Bar., Kabupaten Morowali, Sulawesi Tengah 94976, Indonesia","
Wosu, Kec. Bungku Bar., Kabupaten Morowali, Sulawesi Tengah 94976",Kabupaten Morowali,Kabupaten Morowali,Sulawesi Selatan,Sulawesi Tengah
2542,ChIJI5LV2gfTni0RmKE0rMHtuyo,Bintang bahari,"C4MH+7H, Ulunambo, Menui Kepulauan, Kabupaten Morowali, Sulawesi Tengah, Indonesia","
C4MH+7H, Ulunambo, Menui Kepulauan, Kabupaten Morowali, Sulawesi Tengah",Kabupaten Morowali,Kabupaten Morowali,Sulawesi Tenggara,Sulawesi Tengah
2610,ChIJK_wLAg3d8jIRhhyLEGIVGL4,Nusa dolong,Nusa Dolong,"
Nusa Dolong",Kabupaten Mamuju,Kabupaten Mamuju,Sulawesi Utara,Sulawesi Utara
2613,ChIJg-T0ndVfmi0RoLUG-0k0pC0,Bukit Matean Tina,"82J4+99Q, Geresa, Kec. Bungku Tengah, Kabupaten Morowali, Sulawesi Tengah 94973, Indonesia","
82J4+99Q, Geresa, Kec. Bungku Tengah, Kabupaten Morowali, Sulawesi Tengah 94973",Kabupaten Morowali,Kabupaten Morowali,Sulawesi Selatan,Sulawesi Tengah
2642,ChIJe_65uPE9fjIRF-OEbvUkPdM,UD. divo sejaterah🌽,Matali,"
Matali, Kec. Kotamobagu Tim., Kota Kotamobagu, Sulawesi Utara",Kabupaten Tana Toraja,Kota Kotamobagu,Sulawesi Utara,Sulawesi Utara
2644,ChIJM63vxJwhkC0RVSPAnd73aXo,Wisata alam panapa,"Unnamed Road, R6V2+P7P, Wawopada, Kec. Lembo, Kabupaten Morowali Utara, Sulawesi Tengah 94966, Indonesia","
R6V2+P7P, Unnamed Road, Wawopada, Kec. Lembo, Kabupaten Morowali Utara, Sulawesi Tengah 94966",Kabupaten Morowali Utara,Kabupaten Morowali Utara,Sulawesi Selatan,Sulawesi Tengah
2656,ChIJ52Wj0Gpfmi0RHfaEVUQjzTc,Tempat santai,"Unnamed Road, 8274+9QF, Kolono, Kec. Bungku Tengah, Kabupaten Morowali, Sulawesi Tengah 94973, Indonesia","
8274+9QF, Unnamed Road, Kolono, Kec. Bungku Tengah, Kabupaten Morowali, Sulawesi Tengah 94973",Kabupaten Morowali,Kabupaten Morowali,Sulawesi Selatan,Sulawesi Tengah
2657,ChIJnRr4CQSlmi0R6yKMXN0BtJ8,Goa desa topogaro,"Tofogaro, Kec. Bungku Bar., Kabupaten Morowali, Sulawesi Tengah, Indonesia","
Tofogaro, Kec. Bungku Bar., Kabupaten Morowali, Sulawesi Tengah 94976",Kabupaten Morowali,Kabupaten Morowali,Sulawesi Selatan,Sulawesi Tengah
2703,ChIJMftu-PZhmi0Rp3IzA231r9A,Hutan Pinus Lantongke,"8W8Q+RF5, Ululere, Kec. Bungku Timur, Kabupaten Morowali, Sulawesi Tengah 94973, Indonesia","
8W8Q+RF5, Ululere, Kec. Bungku Timur, Kabupaten Morowali, Sulawesi Tengah 94973",Kabupaten Morowali,Kabupaten Morowali,Sulawesi Selatan,Sulawesi Tengah
