nama_wisata,kabupaten,provinsi,label_rekomendasi
Leang Surukang,Kabupaten Pangkajene Dan Kepulauan,Sulawesi Selatan,Buruk
Desa Matano,Kabupaten Luwu Timur,Sulawesi Selatan,Terbaik
Sesean,Kabupaten Toraja Utara,Sulawesi Selatan,Baik
Pantai Bira Pasir Putih,Kabupaten Bulukumba,Sulawesi Selatan,Terbaik
Makam Megalitik Sumpang Ralla,Kabupaten Barru,Sulawesi Selatan,Baik
Gunung Baba Kanaan,Kabupaten Tana Toraja,Sulawesi Selatan,Buruk
Sirkuit Atakkae Sengkang - Wajo,Kabupaten Wajo,Sulawesi Selatan,Buruk
Wisata Susur Sungai & Mancing Desa Talawaan Bajo,Kabupaten Minahasa Utara,Sulawesi Utara,Buruk
Danau Perintis,Kabupaten Bone Bolango,Gorontalo,Terbaik
Wisata Alam Lembah Tottong,Kabupaten Polewali Mandar,Sulawesi Barat,Buruk
Festival Sungai Mandar,Kabupaten Polewali Mandar,Sulawesi Barat,Buruk
Air Terjun Tunan Talawaan,Kabupaten Minahasa Utara,Sulawesi Utara,Sedang
Benteng Ulanta,Kabupaten Bone Bolango,Gorontalo,Terbaik
Tebing ujung kota,Kota Baubau,Sulawesi Tenggara,Sedang
Pantai Mandala Ria,Kabupaten Bulukumba,Sulawesi Selatan,Baik
Wisata Pantai Galung,Kabupaten Mamuju,Sulawesi Barat,Buruk
Pantai Cempae,Kota Parepare,Sulawesi Selatan,Baik
Pantai toweni,Kabupaten Parigi Moutong,Sulawesi Tengah,Baik
Dermaga Burau Pantai,Kabupaten Luwu Timur,Sulawesi Selatan,Buruk
Taman Cinta Palleko,Kabupaten Takalar,Sulawesi Selatan,Terbaik
TAMAN WISATA 9 MATA AIR MEBERE,Kota Palu,Sulawesi Tengah,Terbaik
Menralo Beach & Resort,Kabupaten Pinrang,Sulawesi Selatan,Sedang
Agrowisata Mekar Jaya Farm,Kabupaten Bone Bolango,Gorontalo,Sedang
Puncak 'Patulian' Tonsewer,Kabupaten Minahasa,Sulawesi Utara,Buruk
Taman Wisata Alam Kea Kea,Kabupaten Kolaka,Sulawesi Tenggara,Buruk
Danau Sidenreng,Kabupaten Sidenreng Rappang,Sulawesi Selatan,Buruk
Rumah Penyu Lowita,Kabupaten Pinrang,Sulawesi Selatan,Terbaik
Museum Nekara,Kabupaten Kepulauan Selayar,Sulawesi Selatan,Terbaik
Spot Foto Pantai Kuri,Kabupaten Maros,Sulawesi Selatan,Terbaik
Balara Beach,Kabupaten Kepulauan Selayar,Sulawesi Selatan,Sedang
Pantai Kampa,Kabupaten Konawe Kepulauan,Sulawesi Tenggara,Sedang
Bukit tinggi TARANGGADING,Kabupaten Mamuju,Sulawesi Barat,Terbaik
Pantai Pasir Putih,Kabupaten Luwu,Sulawesi Selatan,Buruk
Air Terjun Lasolo,Kota Kendari,Sulawesi Tenggara,Sedang
Gunung Katabha Dana,Kabupaten Muna,Sulawesi Tenggara,Buruk
Anjungan Danau Talaga,Kabupaten Donggala,Sulawesi Tengah,Buruk
Bombana's Beach Garden,Kabupaten Bombana,Sulawesi Tenggara,Terbaik
Wisata Alam Tombalan Desa Komara,Kabupaten Takalar,Sulawesi Selatan,Buruk
Tanggul Batu Cincin,Kabupaten Majene,Sulawesi Barat,Baik
Air TERJUN NANGA NANGA,Kota Kendari,Sulawesi Tenggara,Terbaik
Wisata Tugu Perdamaian,Kota Palu,Sulawesi Tengah,Baik
Tondok Bakaru,Kabupaten Mamasa,Sulawesi Barat,Sedang
Air Terjun Galung Paleng,Kabupaten Jeneponto,Sulawesi Selatan,Sedang
Pantai Botubarani,Kabupaten Bone Bolango,Gorontalo,Baik
"Agrowisata Bonto Lojong,Ujung Bulu",Kabupaten Jeneponto,Sulawesi Selatan,Buruk
Pantai Kassi' Bumbung,Kabupaten Jeneponto,Sulawesi Selatan,Sedang
Air terjun bontoa,Kabupaten Banggai,Sulawesi Tengah,Buruk
Pantai Barugaya Punaga,Kabupaten Takalar,Sulawesi Selatan,Terbaik
Pantai Membuku,Kabupaten Buton Utara,Sulawesi Tenggara,Terbaik
Air Terjun Pangasi Loto,Kabupaten Donggala,Sulawesi Tengah,Buruk
Dusun Sawagi Desa Pattallassang Kabupaten Gowa,Kabupaten Gowa,Sulawesi Selatan,Sedang
Buttu Pamboang,Kabupaten Majene,Sulawesi Barat,Sedang
Wisata Cekong,Kabupaten Enrekang,Sulawesi Selatan,Sedang
Danau Ubur-ubur,Kabupaten Muna,Sulawesi Tenggara,Buruk
Pantai bahari Buton selatan,Kabupaten Buton,Sulawesi Tenggara,Terbaik
Puncak Kayangan 1 Sombori,Kabupaten Morowali,Sulawesi Tengah,Terbaik
"Masjid Tua Kerajaan Muna, Raha, Sulawesi Tenggara",Kabupaten Muna,Sulawesi Tenggara,Terbaik
Air Terjun Desa Pannulan,Kabupaten Kepulauan Talaud,Sulawesi Utara,Terbaik
Wisata pantai Losa,Kabupaten Mamuju,Sulawesi Barat,Terbaik
ANDI NYIWI PARK LUWU TIMUR,Kabupaten Luwu Timur,Sulawesi Selatan,Baik
"Dermaga Desa Sorue Jaya, penyeberangan pertama menuju wisata pulau bokori",Kabupaten Konawe,Sulawesi Tenggara,Buruk
Pulau Binongko,Kabupaten Wakatobi,Sulawesi Tenggara,Buruk
Pantai wasaga,Kabupaten Buton,Sulawesi Tenggara,Buruk
Pantai Tinonnong,Kabupaten Jeneponto,Sulawesi Selatan,Baik
RTH Masjid Agung Pohuwato,Kabupaten Pohuwato,Gorontalo,Buruk
Air Terjun Salassang,Kabupaten Enrekang,Sulawesi Selatan,Sedang
Wisata Bone Pompon,Kabupaten Banggai Kepulauan,Sulawesi Tengah,Buruk
Bukit Alitta Madani,Kabupaten Pinrang,Sulawesi Selatan,Baik
Kharisma Agrowisata,Kabupaten Sigi,Sulawesi Tengah,Terbaik
Pantai Wanua Ndoke,Kabupaten Buton Utara,Sulawesi Tenggara,Buruk
Lasinrang Park,Kabupaten Pinrang,Sulawesi Selatan,Sedang
"Walimpong, Desa Barae",Kabupaten Soppeng,Sulawesi Selatan,Baik
Rumah Alam Dunggala,Kabupaten Bone Bolango,Gorontalo,Terbaik
Humusu Beach,Kabupaten Kepulauan Sangihe,Sulawesi Utara,Baik
Bulu Lompongan,Kabupaten Pinrang,Sulawesi Selatan,Buruk
Istana Langkanae Luwu,Kota Palopo,Sulawesi Selatan,Terbaik
Kampong Batulelleng,Kabupaten Toraja Utara,Sulawesi Selatan,Terbaik
Pantai Kapitu,Kabupaten Minahasa Selatan,Sulawesi Utara,Sedang
Wisata Air Panas Bora,Kabupaten Sigi,Sulawesi Tengah,Sedang
Wisata Hungayono,Kabupaten Bone Bolango,Gorontalo,Baik
Taman Air Kelapa Gading,Kota Baubau,Sulawesi Tenggara,Terbaik
Ekowisata Taduno,Kabupaten Wakatobi,Sulawesi Tenggara,Buruk
PuLau Laga,Kabupaten Bolaang Mongondow Timur,Sulawesi Utara,Buruk
Taman Lahilote,Kota Gorontalo,Gorontalo,Terbaik
KOLAM RENANG TIRTABARAS,Kabupaten Pasangkayu,Sulawesi Barat,Buruk
"BUKIT NATO,Lolai negri diatas awan",Kabupaten Toraja Utara,Sulawesi Selatan,Sedang
Wisata Hutan Pinus Dan Pemandian Air Panas,Kota Tomohon,Sulawesi Utara,Buruk
Tugu Kandean Dulang,Kabupaten Toraja Utara,Sulawesi Selatan,Terbaik
"Air Terjun Butang, Mario Pulana, Salulekbo, Topoyo, Mateng",Kabupaten Mamuju Tengah,Sulawesi Barat,Terbaik
Bantaeng,Kabupaten Bantaeng,Sulawesi Selatan,Sedang
Pantai Toronipa,Kabupaten Konawe,Sulawesi Tenggara,Sedang
Wisata Alam Geologi Boro Boro,Kabupaten Konawe Selatan,Sulawesi Tenggara,Buruk
Pantai Batu Oge,Kabupaten Pasangkayu,Sulawesi Barat,Sedang
Wisata Kali Biru,Kota Kendari,Sulawesi Tenggara,Buruk
Geopark Maros Pangkep,Kabupaten Maros,Sulawesi Selatan,Buruk
Danau Tombakar (Ranowangko),Kabupaten Minahasa,Sulawesi Utara,Terbaik
Masjid Tua Tosora,Kabupaten Wajo,Sulawesi Selatan,Terbaik
Yuranata garden,Kota Baubau,Sulawesi Tenggara,Buruk
Pantai OGO BUAYA,Kabupaten Parigi Moutong,Sulawesi Tengah,Baik
Masjid Agung Baiturrahim Pohuwato,Kabupaten Pohuwato,Gorontalo,Terbaik
GUA KAMBUNO,Kabupaten Tana Toraja,Sulawesi Selatan,Baik
Air Terjun Pesak,Kabupaten Banggai,Sulawesi Tengah,Baik
Pantai Makakata,Kabupaten Banggai,Sulawesi Tengah,Terbaik
Pantai Batam Mataiwoi,Kabupaten Konawe Utara,Sulawesi Tenggara,Buruk
Pantai Duva,Kota Palu,Sulawesi Tengah,Baik
Permandian Malotong,Kabupaten Tojo Una-Una,Sulawesi Tengah,Terbaik
Pantai Sampulungan,Kabupaten Takalar,Sulawesi Selatan,Buruk
Objek Wisata Rante Sirrin,Kabupaten Toraja Utara,Sulawesi Selatan,Buruk
Teluk Soropia,Kabupaten Konawe,Sulawesi Tenggara,Terbaik
Air Terjun Bantimurung,Kabupaten Maros,Sulawesi Selatan,Buruk
Air terjun Sararudi,Kabupaten Sigi,Sulawesi Tengah,Baik
Anjungan Pantai Kota Polewali,Kabupaten Polewali Mandar,Sulawesi Barat,Sedang
AIR TERJUN LIMBONG KAMANDANG,Kabupaten Polewali Mandar,Sulawesi Barat,Buruk
Wisata Marmer Bulo Tara Leang-Leang,Kabupaten Maros,Sulawesi Selatan,Baik
Pantai Saleo,Kabupaten Bolaang Mongondow Utara,Sulawesi Utara,Buruk
Hidden Valley,Kabupaten Bolaang Mongondow Timur,Sulawesi Utara,Sedang
Bendungan Misterius,Kabupaten Sigi,Sulawesi Tengah,Baik
Air terjun Saluntere,Kabupaten Donggala,Sulawesi Tengah,Buruk
Hutan Mangrove Gusung,Kabupaten Kepulauan Selayar,Sulawesi Selatan,Baik
Pantai kasosona,Kabupaten Buton,Sulawesi Tenggara,Buruk
air terjun lantangahi desa todanga,Kabupaten Buton,Sulawesi Tenggara,Baik
Pantai Pohon Cinta,Kabupaten Pohuwato,Gorontalo,Terbaik
Pantai Cemara,Kabupaten Wakatobi,Sulawesi Tenggara,Sedang
Leang Cina,Kabupaten Pangkajene Dan Kepulauan,Sulawesi Selatan,Buruk
Pantai Waleinsorit,Kabupaten Minahasa,Sulawesi Utara,Sedang
Kincir Highlad Sidenreng Bersinar,Kabupaten Sidenreng Rappang,Sulawesi Selatan,Terbaik
Danau Alani,Kabupaten Banggai Kepulauan,Sulawesi Tengah,Sedang
Pantai Tatiala,Kota Manado,Sulawesi Utara,Terbaik
Kawasan Wisata Alam Citta,Kabupaten Soppeng,Sulawesi Selatan,Buruk
Wisata Bahari Seafood Restaurant,Kota Manado,Sulawesi Utara,Terbaik
Wisata Balla-Ballayya Desa Bira,Kabupaten Bulukumba,Sulawesi Selatan,Baik
BOLRE ATO BVULYUD,Kabupaten Buol,Sulawesi Tengah,Terbaik
Pantai idaman,Kabupaten Gorontalo Utara,Gorontalo,Sedang
Permandian Eremerasa Ermes bantaeng,Kabupaten Bantaeng,Sulawesi Selatan,Baik
Napabale Beach,Kabupaten Muna,Sulawesi Tenggara,Buruk
Laa Waa River Park,Kabupaten Luwu Timur,Sulawesi Selatan,Terbaik
TEMPAT PERMANDIAN SANDAKAN BIAK,Kabupaten Banggai,Sulawesi Tengah,Sedang
Pantai Meleura,Kabupaten Muna,Sulawesi Tenggara,Terbaik
Air Terjun Desa WiauLapi,Kabupaten Minahasa Selatan,Sulawesi Utara,Buruk
Air Terjun Mangatasik,Kabupaten Minahasa,Sulawesi Utara,Sedang
Wisata Pantai Desa Pasir Putih,Kabupaten Bolaang Mongondow,Sulawesi Utara,Baik
Desa Wisata Jembatan Pelangi Lagading Kab. Sidenreng Rappang,Kabupaten Sidenreng Rappang,Sulawesi Selatan,Buruk
Tepi Laut Mamuju,Kabupaten Mamuju,Sulawesi Barat,Terbaik
Bukit Tongke Tongke ( Camping),Kabupaten Sinjai,Sulawesi Selatan,Buruk
Puncak Temboan Rurukan,Kabupaten Minahasa,Sulawesi Utara,Terbaik
Danau Meleura,Kabupaten Muna,Sulawesi Tenggara,Terbaik
Kebun Anggur DUYU BANGKIT 02/04,Kota Palu,Sulawesi Tengah,Terbaik
Wisata Pantai Biontong,Kabupaten Bolaang Mongondow Utara,Sulawesi Utara,Buruk
Air Terjun Kali Dingin,Kabupaten Luwu Timur,Sulawesi Selatan,Terbaik
Hutan Pinus Samparona,Kota Baubau,Sulawesi Tenggara,Sedang
Situs Sejarah Ratu Oki,Kabupaten Minahasa Tenggara,Sulawesi Utara,Sedang
Sungai simbuang,Kabupaten Luwu,Sulawesi Selatan,Terbaik
Permandian alam citta,Kabupaten Soppeng,Sulawesi Selatan,Terbaik
Air terjun Kalando,Kabupaten Mamuju Tengah,Sulawesi Barat,Terbaik
Objek Wisata Pantai Mangaramba Beach,Kabupaten Kepulauan Talaud,Sulawesi Utara,Baik
WISATA BUNGUNG SALAPANG,Kabupaten Jeneponto,Sulawesi Selatan,Buruk
"Tambatan Perahu Dulangeya, Kec. Botumoito",Kabupaten Boalemo,Gorontalo,Baik
Apparallang,Kabupaten Bulukumba,Sulawesi Selatan,Terbaik
Wisata Batu Sori,Kota Baubau,Sulawesi Tenggara,Terbaik
Objek Wisata Tulaklangi Talion,Kabupaten Tana Toraja,Sulawesi Selatan,Buruk
WISATAKAUDUMA,Kabupaten Muna,Sulawesi Tenggara,Terbaik
Donggia Kahayya,Kabupaten Bulukumba,Sulawesi Selatan,Terbaik
Pantai Karosi,Kabupaten Sinjai,Sulawesi Selatan,Baik
hutan mangrove arungkeke,Kabupaten Jeneponto,Sulawesi Selatan,Sedang
Gunung Tambusisi,Kabupaten Morowali Utara,Sulawesi Tengah,Baik
Pulau Bongkil,Kabupaten Bolaang Mongondow Utara,Sulawesi Utara,Terbaik
"Lolai - To' Tombi, Negeri di atas awan",Kabupaten Toraja Utara,Sulawesi Selatan,Terbaik
Masjid ldii gunung jati kendari,Kota Kendari,Sulawesi Tenggara,Terbaik
Buntu Pune,Kabupaten Toraja Utara,Sulawesi Selatan,Baik
Batu Tongkarayya,Kabupaten Bulukumba,Sulawesi Selatan,Terbaik
Monumen Korban 40.000 Jiwa,Kota Makassar,Sulawesi Selatan,Sedang
Minanga Beach,Kabupaten Gorontalo Utara,Gorontalo,Terbaik
Pantai Tamimbo,Kabupaten Poso,Sulawesi Tengah,Sedang
Wisata Permandian Agro Palopo,Kota Palopo,Sulawesi Selatan,Buruk
Bokori Beach,Kabupaten Konawe,Sulawesi Tenggara,Buruk
Air Terjun Malaringgi,Kabupaten Konawe Selatan,Sulawesi Tenggara,Buruk
TELAGA PURI INDAH (TERINDAH),Kabupaten Konawe,Sulawesi Tenggara,Terbaik
