nama_wisata,kabupaten,provinsi,label_rekomendasi
Pemandian Sungai Paneki,Kabupaten Sigi,Sulawesi Tengah,Terbaik
Tempat santai,Kabupaten Morowali,Sulawesi Tengah,Sedang
GOA TAPPARANG kolaka Utara,Kabupaten Kolaka Utara,Sulawesi Tenggara,Terbaik
Air Terjun Ambang II,Kabupaten Bolaang Mongondow,Sulawesi Utara,Buruk
Buntu Cekong,Kabupaten Enrekang,Sulawesi Selatan,Terbaik
DANAU HITAM,Kabupaten Konawe Selatan,Sulawesi Tenggara,Baik
Desa Wisata Bontolempangan,Kabupaten Maros,Sulawesi Selatan,Baik
Wisata Sawah Golden Bridge,Kabupaten Mamasa,Sulawesi Barat,Buruk
Air Terjun Batu Lukis,Kabupaten Kolaka Timur,Sulawesi Tenggara,Sedang
Pantai Batu Gong Kendari,Kabupaten Konawe,Sulawesi Tenggara,Buruk
Situs wisata alam,Kabupaten Gorontalo Utara,Gorontalo,Baik
Air Terjun kumapo dahu,Kabupaten Konawe,Sulawesi Tenggara,Terbaik
Gua Tengkorak / Gua Lawolatu,Kabupaten Kolaka Utara,Sulawesi Tenggara,Buruk
Wisata Gn. Soputan,Kabupaten Minahasa Tenggara,Sulawesi Utara,Buruk
Limbong Sitodo,Kabupaten Polewali Mandar,Sulawesi Barat,Sedang
Bukit Langira,Kabupaten Buton,Sulawesi Tenggara,Buruk
Wisata Kapal Karam Balantang,Kabupaten Luwu Timur,Sulawesi Selatan,Buruk
Pantai Minahaki,Kabupaten Banggai,Sulawesi Tengah,Terbaik
Hutan Campaga,Kabupaten Bantaeng,Sulawesi Selatan,Terbaik
Wisata Alam & Kolam Renang WAE TUO TEMBO'E,Kabupaten Bulukumba,Sulawesi Selatan,Buruk
Pantai Pising,Kabupaten Bombana,Sulawesi Tenggara,Terbaik
Pantai Wisata Kendahe,Kabupaten Kepulauan Sangihe,Sulawesi Utara,Buruk
Gunung Lantiangoro,Kabupaten Barru,Sulawesi Selatan,Terbaik
Pantai Sulaa,Kota Baubau,Sulawesi Tenggara,Baik
Anjungan Pantai Losari,Kota Makassar,Sulawesi Selatan,Terbaik
Puncak Totongkoran,Kabupaten Minahasa,Sulawesi Utara,Terbaik
Cagar Alam Gunung Tinombala,Kabupaten Parigi Moutong,Sulawesi Tengah,Buruk
P4S WANUA LAMPOKO,Kabupaten Bone,Sulawesi Selatan,Terbaik
Wisata Alam Mannessa Camp Baths and Fishing,Kota Parepare,Sulawesi Selatan,Sedang
Pantai Tongko,Kabupaten Poso,Sulawesi Tengah,Baik
pantai Bara' UjungLero,Kabupaten Pinrang,Sulawesi Selatan,Sedang
Taman Wisata Alam Lejja,Kabupaten Soppeng,Sulawesi Selatan,Terbaik
Pantai Anita,Kabupaten Minahasa Tenggara,Sulawesi Utara,Baik
Wisata Alam Bukit Kappung Mammesa,Kabupaten Majene,Sulawesi Barat,Terbaik
aer ujang,Kota Bitung,Sulawesi Utara,Terbaik
Towea Beach,Kabupaten Muna,Sulawesi Tenggara,Buruk
Batu Payung,Kabupaten Morowali Utara,Sulawesi Tengah,Baik
Tempat Ziarah Bukit Pena',Kabupaten Mamasa,Sulawesi Barat,Terbaik
Coppo Tille,Kabupaten Barru,Sulawesi Selatan,Terbaik
Bukit Bonto Payung,Kabupaten Barru,Sulawesi Selatan,Terbaik
Pantai Batu Baru,Kota Makassar,Sulawesi Selatan,Buruk
Pantai Muhajirin,Kabupaten Sinjai,Sulawesi Selatan,Buruk
Bone Pololoba Lopito,Kabupaten Banggai Kepulauan,Sulawesi Tengah,Sedang
Air Terjun Eran Batu,Kabupaten Polewali Mandar,Sulawesi Barat,Terbaik
Pantai Beringin Cinta,Kabupaten Mamuju,Sulawesi Barat,Buruk
Bukit Kelor,Kabupaten Sigi,Sulawesi Tengah,Terbaik
Pantai Marina Ampana,Kabupaten Tojo Una-Una,Sulawesi Tengah,Buruk
Taman Reformasi,Kota Parepare,Sulawesi Selatan,Buruk
Situs Bersejarah Manurung E ri Matajang,Kabupaten Bone,Sulawesi Selatan,Terbaik
Air Terjun Kaba Kaba,Kabupaten Pinrang,Sulawesi Selatan,Sedang
Taman Kota Majene,Kabupaten Majene,Sulawesi Barat,Buruk
Liawan,Kabupaten Mamasa,Sulawesi Barat,Buruk
GPdI Bukit Hermon Kolaka,Kabupaten Kolaka,Sulawesi Tenggara,Terbaik
Museum Buntu Kalando,Kabupaten Tana Toraja,Sulawesi Selatan,Buruk
Pantai silopo,Kabupaten Polewali Mandar,Sulawesi Barat,Terbaik
Pantai Pelangi,Kabupaten Kolaka Utara,Sulawesi Tenggara,Terbaik
Monumen Mandala Pembebasan Irian Barat,Kota Makassar,Sulawesi Selatan,Baik
Buttu Lamba,Kabupaten Polewali Mandar,Sulawesi Barat,Buruk
Telaga Biru Segeri,Kabupaten Pangkajene Dan Kepulauan,Sulawesi Selatan,Sedang
TAMAN PUNCAK AHUAWALI,Kabupaten Konawe,Sulawesi Tenggara,Buruk
Wisata Bahari LantowuaBeach,Kabupaten Bombana,Sulawesi Tenggara,Terbaik
Pantai BTM,Kabupaten Mamuju,Sulawesi Barat,Buruk
Danau Paisu Pok Luk Panenteng,Kabupaten Banggai Kepulauan,Sulawesi Tengah,Terbaik
Pantai Wisata Botutonuo,Kabupaten Bone Bolango,Gorontalo,Terbaik
Parkiran Air Terjun (Kali),Kabupaten Minahasa,Sulawesi Utara,Baik
Pulau Pontein Tumbak,Kabupaten Minahasa Tenggara,Sulawesi Utara,Baik
Pantai Mootame Dalapuli,Kabupaten Bolaang Mongondow Utara,Sulawesi Utara,Buruk
Wale Ti Siri Puncak Rurukan Sulawesi Utara,Kota Tomohon,Sulawesi Utara,Sedang
Hutan Mangrove,Kabupaten Morowali,Sulawesi Tengah,Buruk
Destinasi digital Kampung Natal,Kabupaten Mamasa,Sulawesi Barat,Buruk
POCI,Kota Kendari,Sulawesi Tenggara,Sedang
"Air Terjun Tondopi, Tongkoseng",Kabupaten Bombana,Sulawesi Tenggara,Buruk
RAQa River Camp,Kabupaten Donggala,Sulawesi Tengah,Baik
Permandian Batu Doli,Kabupaten Bantaeng,Sulawesi Selatan,Buruk
Makam Raja Sao Sao,Kota Kendari,Sulawesi Tenggara,Terbaik
Buntu Burake,Kabupaten Tana Toraja,Sulawesi Selatan,Buruk
Pantai Sukamaju,Kabupaten Gorontalo Utara,Gorontalo,Buruk
Tanjung Karang,Kabupaten Donggala,Sulawesi Tengah,Buruk
Monumen Kaki Dian Minahasa Utara,Kabupaten Minahasa Utara,Sulawesi Utara,Buruk
Air terjun Timurung,Kabupaten Gowa,Sulawesi Selatan,Terbaik
Air Terjun Biru Seruni,Kabupaten Kolaka Utara,Sulawesi Tenggara,Buruk
Pantai Timbala,Kabupaten Bombana,Sulawesi Tenggara,Terbaik
Taman Wisata Alam Batu Angus,Kota Bitung,Sulawesi Utara,Sedang
Pohon Keramat Baurung,Kabupaten Majene,Sulawesi Barat,Terbaik
Wisata Vatu Nonju,Kabupaten Sigi,Sulawesi Tengah,Terbaik
Air Terjun Botuwombato,Kabupaten Gorontalo Utara,Gorontalo,Sedang
Gunung Mekongga,Kabupaten Kolaka Utara,Sulawesi Tenggara,Terbaik
Objek Wisata Telaga Lotta Indah,Kabupaten Kepulauan Talaud,Sulawesi Utara,Sedang
Parangloe Waterfall,Kabupaten Gowa,Sulawesi Selatan,Terbaik
Air Terjun Tembang Luk Sagu,Kabupaten Banggai Kepulauan,Sulawesi Tengah,Terbaik
TONGKONAN SASSA',Kabupaten Tana Toraja,Sulawesi Selatan,Sedang
Bendung Benteng,Kabupaten Pinrang,Sulawesi Selatan,Baik
Objek Wisata Danau Assa,Kabupaten Tana Toraja,Sulawesi Selatan,Buruk
Wisata Alam Air Panas,Kabupaten Bone Bolango,Gorontalo,Terbaik
Lombongo Waterfall,Kabupaten Bone Bolango,Gorontalo,Buruk
Baku Bodo,Kabupaten Sinjai,Sulawesi Selatan,Sedang
Taman Segitiga Binturu Palopo (I Love Palopo),Kota Palopo,Sulawesi Selatan,Terbaik
Danau Panjang Tanjung Bunga,Kota Makassar,Sulawesi Selatan,Terbaik
Kawah Belerang Gunung Ambang,Kabupaten Bolaang Mongondow Timur,Sulawesi Utara,Baik
"Pantai Bara, Bulukumba",Kabupaten Bulukumba,Sulawesi Selatan,Baik
Pulau Langala,Kabupaten Morowali,Sulawesi Tengah,Buruk
Gelora ambang,Kota Kotamobagu,Sulawesi Utara,Buruk
Permandian kaaghi,Kabupaten Muna Barat,Sulawesi Tenggara,Buruk
Pantai Harapan Indah Ammani,Kabupaten Pinrang,Sulawesi Selatan,Sedang
Wisata sawit ceria,Kabupaten Banggai,Sulawesi Tengah,Buruk
LYWANZA POOL & RESTO,Kabupaten Mamuju Tengah,Sulawesi Barat,Buruk
Wisata Pantai Poigar,Kabupaten Minahasa Selatan,Sulawesi Utara,Terbaik
Marina Togo Wakatobi,Kabupaten Wakatobi,Sulawesi Tenggara,Terbaik
Menara Pandang Bendungan Lolak,Kabupaten Bolaang Mongondow,Sulawesi Utara,Baik
pemancingan riboko balla,Kabupaten Gowa,Sulawesi Selatan,Buruk
Tanjung Kartika,Kabupaten Konawe Selatan,Sulawesi Tenggara,Sedang
Bukit Belum Ada Nama,Kabupaten Luwu Utara,Sulawesi Selatan,Baik
DERMAGA APUNG TAHUNA,Kabupaten Kepulauan Sangihe,Sulawesi Utara,Baik
Pintu Air Danau Limboto,Kabupaten Gorontalo,Gorontalo,Buruk
Pantai RCTI,Kota Bitung,Sulawesi Utara,Buruk
Taman Bakau Kendari,Kota Kendari,Sulawesi Tenggara,Buruk
Pantai Kucing Parigi Moutong,Kabupaten Parigi Moutong,Sulawesi Tengah,Terbaik
Jeneponto Waterpark,Kabupaten Jeneponto,Sulawesi Selatan,Buruk
Wisata Leang Lonrong,Kabupaten Pangkajene Dan Kepulauan,Sulawesi Selatan,Terbaik
Pantai Kilo Lima,Kabupaten Banggai,Sulawesi Tengah,Baik
Kilapong hills,Kota Tomohon,Sulawesi Utara,Sedang
Pantai Juanda Lestari,Kabupaten Kolaka,Sulawesi Tenggara,Terbaik
Benteng Rotterdam,Kota Makassar,Sulawesi Selatan,Terbaik
DESA Wisata Namu,Kabupaten Konawe Selatan,Sulawesi Tenggara,Sedang
Mantara Waterpark Kendari,Kota Kendari,Sulawesi Tenggara,Baik
Gunung Tondano,Kabupaten Minahasa,Sulawesi Utara,Buruk
Tanjung Silar,Kabupaten Bolaang Mongondow Timur,Sulawesi Utara,Terbaik
Gedung PIKAT,Kota Manado,Sulawesi Utara,Terbaik
Hutan Taman kota,Kota Palu,Sulawesi Tengah,Terbaik
Planet Waterboom,Kota Gorontalo,Gorontalo,Buruk
Museum Karaeng Pattingalloang,Kabupaten Gowa,Sulawesi Selatan,Terbaik
Pariwisata Riverside Dinamunen,Kabupaten Minahasa Utara,Sulawesi Utara,Buruk
Pantai Tanjung Tabako,Kabupaten Bombana,Sulawesi Tenggara,Buruk
Pantai Bungin Pinungan,Kabupaten Muna,Sulawesi Tenggara,Terbaik
Jembatan Muara Sungai Palopo,Kota Palopo,Sulawesi Selatan,Buruk
Tanjung Baloiya,Kabupaten Kepulauan Selayar,Sulawesi Selatan,Buruk
Pantai Bamba,Kota Palu,Sulawesi Tengah,Terbaik
Air Terjun Desa Tincep (Tekaan Rangka Kengkang),Kabupaten Minahasa,Sulawesi Utara,Sedang
Pasir Panjang,Kabupaten Morowali,Sulawesi Tengah,Sedang
Lembah Ramma,Kabupaten Gowa,Sulawesi Selatan,Terbaik
Pasir panjang bakealu,Kabupaten Muna,Sulawesi Tenggara,Baik
Pegunungan Latimojong,Kabupaten Luwu,Sulawesi Selatan,Buruk
PANTAI LA DADO,Kabupaten Buton,Sulawesi Tenggara,Terbaik
Wisata Alam Gua Batu Putih,Kabupaten Luwu Utara,Sulawesi Selatan,Sedang
Pantai moian,Kabupaten Parigi Moutong,Sulawesi Tengah,Buruk
Permandian Alam Makawa,Kabupaten Luwu,Sulawesi Selatan,Buruk
Objek Wisata Danau Seper,Kabupaten Minahasa Utara,Sulawesi Utara,Terbaik
Sepeda air kendari,Kota Kendari,Sulawesi Tenggara,Buruk
Buntu Kandora,Kabupaten Tana Toraja,Sulawesi Selatan,Sedang
Pantai Kalinaun,Kabupaten Minahasa Utara,Sulawesi Utara,Terbaik
Pura Agung Mandala Giri,Kabupaten Boalemo,Gorontalo,Sedang
Masjid Jami Tua Palopo,Kota Palopo,Sulawesi Selatan,Terbaik
Goa tangkaboba,Kabupaten Poso,Sulawesi Tengah,Baik
Huidu Matabulawa,Kabupaten Bolaang Mongondow Selatan,Sulawesi Utara,Buruk
Pantai Alo Alo,Kabupaten Bombana,Sulawesi Tenggara,Sedang
Pantai Desa Tamit (Tamit Paradise),Kabupaten Buol,Sulawesi Tengah,Terbaik
Wisata Gunung Layang,Kota Gorontalo,Gorontalo,Buruk
Wisata Kebun Gowa,Kabupaten Gowa,Sulawesi Selatan,Baik
Taman Laut Kolaka,Kabupaten Kolaka,Sulawesi Tenggara,Buruk
Objek wisata terumbu karang Adhyaksa dan hutan bakau Adhyaksa,Kabupaten Banggai Laut,Sulawesi Tengah,Terbaik
Pantai Katembe,Kabupaten Buton,Sulawesi Tenggara,Buruk
Pulau Bokori,Kabupaten Konawe,Sulawesi Tenggara,Buruk
BANYU ANGET SWIMMINGPOOL,Kota Kotamobagu,Sulawesi Utara,Buruk
Wisata Tracking mangrove,Kabupaten Gorontalo Utara,Gorontalo,Sedang
Pantai Kappe,Kabupaten Pinrang,Sulawesi Selatan,Terbaik
WISATA ALAM BUKIT BAHAGIA,Kabupaten Maros,Sulawesi Selatan,Sedang
Pantai Tete,Kabupaten Bone,Sulawesi Selatan,Buruk
Wisata Alam Minahasa Sulut - Hollywood Hills Lengkoan,Kabupaten Minahasa,Sulawesi Utara,Terbaik
Permandian Bendungan Kandang,Kabupaten Polewali Mandar,Sulawesi Barat,Sedang
Pantai Tanjung Buaya,Kabupaten Bolaang Mongondow Utara,Sulawesi Utara,Baik
Tapandullu Beach,Kabupaten Mamuju,Sulawesi Barat,Terbaik
Diva Bahari,Kabupaten Konawe,Sulawesi Tenggara,Sedang
Bukit Emot,Kabupaten Buton,Sulawesi Tenggara,Buruk
Negri Atas Awan MARANO,Kabupaten Mamuju,Sulawesi Barat,Sedang
Pantai Mutiara,Kabupaten Buton,Sulawesi Tenggara,Sedang
Pantai Tamborasi,Kabupaten Kolaka,Sulawesi Tenggara,Terbaik
Teluk Tomori,Kabupaten Morowali Utara,Sulawesi Tengah,Terbaik
Pantai Mangatasik,Kabupaten Minahasa Selatan,Sulawesi Utara,Buruk
Permandian Wisata Istana Mappala,Kabupaten Gowa,Sulawesi Selatan,Buruk
Wale Ne Reideen Rumah Miring Tomohon,Kota Tomohon,Sulawesi Utara,Sedang
Banua Wuhu,Kabupaten Kepulauan Sangihe,Sulawesi Utara,Terbaik
Air Terjun Biroro,Kabupaten Gowa,Sulawesi Selatan,Baik
Danau Limbong,Kabupaten Toraja Utara,Sulawesi Selatan,Sedang
Tanjung Avanza,Kabupaten Parigi Moutong,Sulawesi Tengah,Baik
CitraLand WaterPark Manado,Kota Manado,Sulawesi Utara,Sedang
Pantai Sausumangka,Kabupaten Buton,Sulawesi Tenggara,Sedang
"Pantai Timur, Jiko Belanga - Boltim",Kabupaten Bolaang Mongondow Timur,Sulawesi Utara,Buruk
"Kolam Renang Air Panas ""Zanoleos""",Kota Tomohon,Sulawesi Utara,Terbaik
Air Terjun Salu Birayya Barania,Kabupaten Sinjai,Sulawesi Selatan,Sedang
Lokawisata Tepi Desa,Kabupaten Gorontalo,Gorontalo,Terbaik
Air Terjun Kembar Morowali,Kabupaten Morowali,Sulawesi Tengah,Buruk
Pantai BatuMeja Sangkub (TableStone Beach),Kabupaten Bolaang Mongondow Utara,Sulawesi Utara,Buruk
Pantai Sangganipa,Kabupaten Donggala,Sulawesi Tengah,Buruk
Bulu Nti,Kabupaten Sigi,Sulawesi Tengah,Terbaik
Togeo Beach,Kabupaten Bone,Sulawesi Selatan,Buruk
Pantai Sicini,Kabupaten Gowa,Sulawesi Selatan,Buruk
Wisata Buntu Pasang Palopo,Kota Palopo,Sulawesi Selatan,Buruk
Bukit Jokowi,Kabupaten Tana Toraja,Sulawesi Selatan,Buruk
Tiro Soe,Kabupaten Luwu Utara,Sulawesi Selatan,Terbaik
"Bukit Mahawu, Tomohon, Sulawesi Utara",Kota Tomohon,Sulawesi Utara,Buruk
Pantai tupa,Kabupaten Donggala,Sulawesi Tengah,Baik
tebing sunset bonebula lifutona,Kabupaten Donggala,Sulawesi Tengah,Terbaik
Air Terjun Vera,Kabupaten Morowali,Sulawesi Tengah,Baik
Pemandian Air Panas Bebba'e,Kabupaten Soppeng,Sulawesi Selatan,Buruk
Museum Daerah Kab Banggai _Bekas Rumah Capitan,Kabupaten Banggai,Sulawesi Tengah,Terbaik
Tugu Panua,Kabupaten Pohuwato,Gorontalo,Sedang
TASUMARO,Kabupaten Kepulauan Sangihe,Sulawesi Utara,Terbaik
Dermaga Tua Sapoiha,Kabupaten Kolaka Utara,Sulawesi Tenggara,Terbaik
ASMARA GARDEN,Kabupaten Bone Bolango,Gorontalo,Buruk
PPLH Puntondo,Kabupaten Takalar,Sulawesi Selatan,Baik
Benteng Otanaha,Kota Gorontalo,Gorontalo,Terbaik
Sallo Waterpark,Kabupaten Wajo,Sulawesi Selatan,Buruk
Batu Kuangang Wisata,Kota Manado,Sulawesi Utara,Buruk
Air Terjun Bumbun,Kabupaten Tana Toraja,Sulawesi Selatan,Buruk
Puncak Passi,Kota Kotamobagu,Sulawesi Utara,Terbaik
Taman Sarung Allo,Kabupaten Polewali Mandar,Sulawesi Barat,Sedang
Bukit Samata,Kabupaten Gowa,Sulawesi Selatan,Sedang
Dulanga Beach,Kabupaten Gorontalo,Gorontalo,Sedang
Eduwisata Mangrove PKP Bone,Kabupaten Bone,Sulawesi Selatan,Baik
Pantai Nambo,Kota Kendari,Sulawesi Tenggara,Buruk
Pantai Morano,Kabupaten Muna,Sulawesi Tenggara,Buruk
Bukit Rongi,Kabupaten Buton,Sulawesi Tenggara,Buruk
Waterboom Agro Wisata Palopo,Kota Palopo,Sulawesi Selatan,Buruk
Mangrove Park Bahowo,Kota Manado,Sulawesi Utara,Terbaik
Puncak lengkoan,Kabupaten Minahasa,Sulawesi Utara,Terbaik
Gunung Latimojong,Kabupaten Luwu,Sulawesi Selatan,Baik
Wisata Malino,Kabupaten Gowa,Sulawesi Selatan,Terbaik
GPDI Bukit Zaitun Hesang,Kabupaten Kepulauan Sangihe,Sulawesi Utara,Buruk
Puncak Bulusaraung,Kabupaten Pangkajene Dan Kepulauan,Sulawesi Selatan,Baik
Air Terjun Salodik,Kabupaten Banggai,Sulawesi Tengah,Baik
Hutan Kota Tomohon,Kota Tomohon,Sulawesi Utara,Terbaik
Pantai Sabang Toli toli,Kabupaten Tolitoli,Sulawesi Tengah,Sedang
A.M.R Shop,Kota Makassar,Sulawesi Selatan,Buruk
Pante Kalou,Kabupaten Minahasa Selatan,Sulawesi Utara,Buruk
Wisata alam lembah kunyi,Kabupaten Polewali Mandar,Sulawesi Barat,Baik
Pantai Wasampela,Kabupaten Buton,Sulawesi Tenggara,Sedang
Air Terjun Ogomojolo,Kabupaten Parigi Moutong,Sulawesi Tengah,Buruk
"Pusat Informasi Geologi, Maros - Pangkep",Kabupaten Pangkajene Dan Kepulauan,Sulawesi Selatan,Terbaik
Lembah Impian Poti’tanayya,Kabupaten Jeneponto,Sulawesi Selatan,Baik
Puncak panenteng tola,Kabupaten Kepulauan Sangihe,Sulawesi Utara,Buruk
Air Terjun Itto Sarasa,Kabupaten Pinrang,Sulawesi Selatan,Baik
Pantai Kilongan,Kabupaten Banggai,Sulawesi Tengah,Sedang
Wisata Alam Goa Lembono Mata,Kabupaten Morowali,Sulawesi Tengah,Buruk
Wisata Gunung Kekewang Desa Tetey,Kabupaten Minahasa Utara,Sulawesi Utara,Buruk
Pantai Tambu,Kabupaten Donggala,Sulawesi Tengah,Buruk
Pantai Kelapa Lima,Kabupaten Banggai Laut,Sulawesi Tengah,Sedang
Monumen Pejuang Kemerdekaan,Kabupaten Bulukumba,Sulawesi Selatan,Terbaik
Pantai Marumasa,Kabupaten Bulukumba,Sulawesi Selatan,Baik
Pantai Lopana,Kabupaten Minahasa Selatan,Sulawesi Utara,Buruk
Pantai Wisata Pandanwangi,Kabupaten Banggai,Sulawesi Tengah,Baik
Pantai Rahwana (Keindahan Pantai Dekat Danau),Kabupaten Bombana,Sulawesi Tenggara,Terbaik
Tirta Ria,Kabupaten Buol,Sulawesi Tengah,Sedang
Taman patung kuda bumi bahari,Kota Palu,Sulawesi Tengah,Sedang
Masjid Raya Makassar,Kota Makassar,Sulawesi Selatan,Terbaik
Air Terjun Bahagia,Kabupaten Gowa,Sulawesi Selatan,Terbaik
Goa Latea,Kabupaten Poso,Sulawesi Tengah,Buruk
Wisata Alam Sulapa Angin Punjabu,Kabupaten Sidenreng Rappang,Sulawesi Selatan,Sedang
Danau Gunung Klabat,Kabupaten Minahasa Utara,Sulawesi Utara,Buruk
Bukit Teletubbies,Kabupaten Morowali Utara,Sulawesi Tengah,Buruk
Taman Wisata Religius Bubohu,Kabupaten Gorontalo,Gorontalo,Terbaik
Pantai Minanga,Kabupaten Gorontalo Utara,Gorontalo,Sedang
Air Terjun Minangatellue,Kabupaten Wajo,Sulawesi Selatan,Terbaik
Desa Wisata Kahianga (Dewi Kahyangan),Kabupaten Wakatobi,Sulawesi Tenggara,Buruk
Wisata Mancing Desa BuluCindea,Kabupaten Pangkajene Dan Kepulauan,Sulawesi Selatan,Baik
Losari Beach Platform,Kota Makassar,Sulawesi Selatan,Terbaik
Balai Kesenian Desa Campurjo,Kabupaten Polewali Mandar,Sulawesi Barat,Terbaik
Buntu Tampo,Kabupaten Tana Toraja,Sulawesi Selatan,Buruk
Kolam Renang Alami Water Blessing danowudu,Kota Bitung,Sulawesi Utara,Sedang
Bukit Doa,Kabupaten Minahasa Selatan,Sulawesi Utara,Buruk
Pantai Buol,Kabupaten Buol,Sulawesi Tengah,Buruk
Pantai paranti Tabang,Kabupaten Kepulauan Talaud,Sulawesi Utara,Buruk
Pantai Mandra Kolaka,Kabupaten Kolaka,Sulawesi Tenggara,Baik
Pemandian Air Terjun Meranti,Kabupaten Bone Bolango,Gorontalo,Buruk
Pantai Panjang Toronipa,Kabupaten Konawe,Sulawesi Tenggara,Terbaik
Tanah Bangkala Bone 1,Kabupaten Bone,Sulawesi Selatan,Terbaik
Bukit Doa Mahawu,Kota Tomohon,Sulawesi Utara,Terbaik
Masjid Tua Jara'e,Kabupaten Sidenreng Rappang,Sulawesi Selatan,Sedang
Wisata Jembatan Jodoh,Kabupaten Sinjai,Sulawesi Selatan,Buruk
Taman Syariah,Kota Parepare,Sulawesi Selatan,Sedang
Pantai watiginanda,Kabupaten Buton,Sulawesi Tenggara,Terbaik
Mangrove Park,Kabupaten Majene,Sulawesi Barat,Sedang
WATERPARK AMANAH TANI,Kabupaten Luwu Utara,Sulawesi Selatan,Terbaik
Permandian Gua Wandigi,Kabupaten Buton,Sulawesi Tenggara,Baik
Pantai Bungin,Kabupaten Bolaang Mongondow,Sulawesi Utara,Sedang
Taman Ganggawa,Kabupaten Sidenreng Rappang,Sulawesi Selatan,Buruk
Bukit Mangkeluno,Kabupaten Muna,Sulawesi Tenggara,Buruk
Bahomoumpa waterfall,Kabupaten Morowali,Sulawesi Tengah,Sedang
Tracking Mangrove Bungkutoko,Kota Kendari,Sulawesi Tenggara,Buruk
Kolam renang lambe lambe,Kabupaten Majene,Sulawesi Barat,Buruk
Waduk Bukit Cinta,Kabupaten Mamuju Tengah,Sulawesi Barat,Terbaik
Pantai Babatoa Lapeo Campalagian,Kabupaten Polewali Mandar,Sulawesi Barat,Terbaik
Beach The Kalama Big,Kabupaten Kepulauan Sangihe,Sulawesi Utara,Terbaik
Air Terjun Desa Poniki,Kabupaten Minahasa Tenggara,Sulawesi Utara,Terbaik
Wisata Mangrove Trans Pato'a,Kabupaten Bolaang Mongondow Selatan,Sulawesi Utara,Baik
Pantai Indah Batutajam,Kabupaten Bolaang Mongondow Utara,Sulawesi Utara,Sedang
Obyek Wisata Sumur Lawello,Kabupaten Bone,Sulawesi Selatan,Buruk
Wisata Dermaga WORI,Kabupaten Minahasa Utara,Sulawesi Utara,Terbaik
Wisata Alam Tamboke,Kabupaten Luwu Utara,Sulawesi Selatan,Terbaik
Wisata Bahari Batu Beranak,Kabupaten Konawe Selatan,Sulawesi Tenggara,Buruk
Pantai Lalos,Kabupaten Tolitoli,Sulawesi Tengah,Terbaik
Gunung bacukiki,Kota Parepare,Sulawesi Selatan,Buruk
Sultan Birding Tours Indonesia,Kota Palu,Sulawesi Tengah,Buruk
Kurenai Beach Resort,Kabupaten Bone Bolango,Gorontalo,Terbaik
Wisata Pantai Bintang Galesong,Kabupaten Takalar,Sulawesi Selatan,Buruk
Taman Budaya Hasan Bahasyuan Masigi,Kabupaten Parigi Moutong,Sulawesi Tengah,Baik
Pantai Al Fath Stira Paradise,Kabupaten Pinrang,Sulawesi Selatan,Terbaik
Objek Wisata Lamperangan,Kabupaten Pangkajene Dan Kepulauan,Sulawesi Selatan,Buruk
Bukit Garuda Negeri Diatas Awan BULO,Kabupaten Polewali Mandar,Sulawesi Barat,Buruk
Wisata Alam Chaputo,Kabupaten Soppeng,Sulawesi Selatan,Baik
Pantai Arjuna,Kabupaten Parigi Moutong,Sulawesi Tengah,Terbaik
Pantai Tae Manu Belang-Belang,Kabupaten Mamuju,Sulawesi Barat,Terbaik
Teluk Lalong,Kabupaten Banggai,Sulawesi Tengah,Buruk
"Air Terjun Pomoman, (Pomoman Waterfall)",Kabupaten Bolaang Mongondow,Sulawesi Utara,Terbaik
Permandian Air Terjun Maremare,Kabupaten Barru,Sulawesi Selatan,Baik
"Desa Bokori, Kabupaten Konawe, Sulawesi Tenggara",Kabupaten Konawe,Sulawesi Tenggara,Sedang
Menara Kendari,Kota Kendari,Sulawesi Tenggara,Buruk
Tugu Kakao,Kabupaten Kolaka,Sulawesi Tenggara,Buruk
Pantai Lumintang Bentenan Ratahan,Kabupaten Minahasa Tenggara,Sulawesi Utara,Baik
Pulau Hoga,Kabupaten Wakatobi,Sulawesi Tenggara,Terbaik
Kebun Raya Massenrempulu,Kabupaten Enrekang,Sulawesi Selatan,Baik
Wisata Hutan Pinus Buntudatu,Kabupaten Tana Toraja,Sulawesi Selatan,Sedang
Boulevart amurang,Kabupaten Minahasa Selatan,Sulawesi Utara,Terbaik
"Pantai Bahari, Buton Selatan",Kabupaten Buton,Sulawesi Tenggara,Terbaik
Kabupaten sinjai,Kabupaten Sinjai,Sulawesi Selatan,Sedang
Wisata Batu Kembar,Kabupaten Luwu Utara,Sulawesi Selatan,Baik
"Bukit Lambaulele, Desa Lapandewa, Kec. Lapandewa, Kab. Buton Selatan",Kabupaten Buton,Sulawesi Tenggara,Terbaik
Pantai Tanjung,Kabupaten Bolaang Mongondow Timur,Sulawesi Utara,Buruk
Mooi Lake,Kabupaten Gorontalo,Gorontalo,Buruk
Wisata papalimbang Kendari,Kota Kendari,Sulawesi Tenggara,Sedang
Padang Indah Allepperengnge,Kabupaten Barru,Sulawesi Selatan,Baik
Bukit Arung Bua,Kabupaten Sinjai,Sulawesi Selatan,Sedang
Pantai Indah,Kota Gorontalo,Gorontalo,Buruk
Pantai Pandan Wangi,Kabupaten Banggai,Sulawesi Tengah,Sedang
Tugu Lingkaran Hati Emas,Kabupaten Konawe Kepulauan,Sulawesi Tenggara,Buruk
Padang Laya,Kabupaten Banggai Laut,Sulawesi Tengah,Buruk
