place_id,nama_pengulas,rating,waktu_ulasan,teks_ulasan
ChIJW_XJxVOLvi0RF7doOR7veJ0,Rizz Fozz,3.0,8 tahun lalu,"Jika anda mencari ketenangan dan melihat koleksi kupukupu yang hidup liar, anda akan kecewa.

Karena kolekasi kupukupu hanya ada di tempat penangkaran saja, itupun dqlam akala yang kecil. Penangkaran besarnya tidak digunakan lagi, karena ada wahana sky bridge diatasnya dan banyak lubang di penangkarannya.

Jika anda berniat, mncari tempat sunyi untuk semedi, atau untuk tujuan mencari wangsit atau apalah namanya, mungkin bisa dijadikan rujukan karena disini ada kuburan (yang dikeramatkan???) dan banyak gua.

Tapi saya tidak rekomendasikan!!!

Cukupkan beribadah hanya sesuai dengan pemahaman (yang dicontohkan) oleh generasi terbaik Umat ini saja.

Atau

jika anda berniat dari awal hanya untuk mandi di air terjuan yang ada di dalam area taman nasional ini, mungkin anda akan senang.

Demikian."
ChIJW_XJxVOLvi0RF7doOR7veJ0,Iskandar Fauzi,4.0,8 tahun lalu,"Pas kesini pas nggak musim kupu kupunya...jadi lagi terbatas banget. Selin alam wisata kupu kupu disini banyak tersedia beberapa wisata selin kupu kupu...ada air terjunya, goa, dan hutan alamnya. Walau air terjun alami ini sangat deras sekali tetapi dibagian bawahnya bisa dibuat bermain dengan menggunakan ban....selanjutanya akan meluncur deras kebawah.....asiik banget ...seru...dan airnya juga jernih...tapi kalau lagi hujan deras sebaiknya jangan mencoba coba ya..khawatir terbawa arus derah dari sumber airnya. Selin itu hutannya yang masih alami dan aliran airnya sangat jernih kehijauan memberikan nuansa yang menyenangkan ....jalan menuju goa dengan berjalan menaiki undakan yang lumayan juga...tak terasa lelah krn kondisi alam yang menyenangkan. Goanya sih keren keren....bagus...pokoke kalau ke Makassar rasanya nggak lengkap kalau belum kesini...
Di area wisata ini banyak tersedia souvenir...dan makanan..."
ChIJW_XJxVOLvi0RF7doOR7veJ0,Dika 25,5.0,4 tahun lalu,"Cuaca di sini sangat adem dan asri🖤 cocok banget untuk spot foto, jarak yang jauh buat kegiatan tamasya jadi lebih menyenangkan, jalanan ke sana juga baik tidak rusak. Super recomended ke tempat ini. Saran saya ada baik nya jika petung yang rusak di renov dan jalan yang bisa di lalui masyarakat yg ingin berenang dan tidak ingin berenang di pisah karena lantai yang licin krn perenang berbahaya. Cinderamata disini juga termasuk murah dan baik di bawa pulang"
ChIJW_XJxVOLvi0RF7doOR7veJ0,Agung Bjn,3.0,setahun lalu,"sudah berulangkali ke lokasi ini
mulai sekitar tahun 2021
terlihat sepi dan banyak fasilitas yang terbengkalai, awalnya saya kira karena terdampak dengan pandemi
namun sampai dengan tahun 2024
tidak banyak berubah
mungkin sebaiknya ada perhatian serius dari pihak yang berwenang untuk menjadikan taman nasional ini menjadi destinasi wisata edukasi yang menarik"
ChIJW_XJxVOLvi0RF7doOR7veJ0,DWI SURYO,5.0,6 tahun lalu,"Taman bukit batu Karst sangat indah dan merupakan salah satu  keajaiban dunia tidak semua negara mempunyai bukit batu karst , anda akan menyesal di saat mempunyai waktu luang sedang berada di Makassar tidak menikmati bukit batu Karst karena tidak jauh dari bandara Hasanuddin Makassar hanya sekitar 45 menit menuju kota Maros anda sudah bisa menikmatinya"
ChIJW_XJxVOLvi0RF7doOR7veJ0,Satuherbal Official,5.0,7 tahun lalu,"Taman nasional yg merupakan salah satu tempat tujuan wisata yang menyuguhkan wisata alam berupa lembah bukit kapur yg curam dg vegetasi tropis,air terjun,dan gua yang merupakan habitat beragam spesies termasuk kupu kupu ( yang jualan souvernir kupu kupu mulai dr gantungan kunci, foto frame dll ) ademm sejuk syng sy tidak naik ke atas, ke guanya"
ChIJW_XJxVOLvi0RF7doOR7veJ0,Nandang Sofyan,5.0,7 tahun lalu,"tempat yang cocok untuk kumpul bersama keluarga harga tiket orang dewasa 25 ribu disana kita bisa menikmati keindahan alam diantaranya air terjun, terdapat beberapa gua salah satunya gua mimpi yang bisa tempbus ke belakang objek wisata selain itu ada danau yg indah...."
ChIJW_XJxVOLvi0RF7doOR7veJ0,Riyanto Arbie [cak rye],4.0,8 tahun lalu,"Wisata alam Bantimurung dapat ditempuh dari pusat kota makasar kurang lebih 1 jam perjalanan.. disini sangatlah lengkap ada air terjun, goa dan danau.. terkenal dengan berbagai macam kupu-kupu dan kumbang. cindra mata kupu-kupu yang diawetkan menjadi andalan obyek wisata ini."
ChIJW_XJxVOLvi0RF7doOR7veJ0,Linda Septiyono,4.0,8 tahun lalu,Lokasi wisata yg wajib dikunjungi nih klo ke Makassar....pemandangannya bagus... tapi toilet lebih diperhatikan lagi kebersihannya...selain air terjun dan mandi2 kita juga bisa liat penangkaran kupu2 aneka warna
ChIJW_XJxVOLvi0RF7doOR7veJ0,Andi Hairuddin,5.0,Diedit 2 tahun lalu,"Cagar budaya yg sebaiknya dijaga dan dilestarikan agar kelak anak cucu kita masih dapat melihatnya.
Semoga tetap menjadi perhatian dan perlindungan pemerintah .."
ChIJqT4iSqHpky0RKXyR5A7BxFk,Rully Iriana,5.0,5 bulan lalu,"Salah satu spot wisata yang wajib dikunjungi kalau berkunjung ke Tana Toraja.
Tiket masuk wisatawan domestik 20rb
Tiket masuk turis mancanegara 35rb
Biaya parkir sudah termasuk tiket masuk kawasan.

Pengunjung dapat menaiki tangga area makan  yang ada di atas.
Sebaiknya berkunjung dipagi hari karena udaranya masih sejuk.

Banyak kios kios yang menjual cinderamata dengan harga yang lebih murah daripada toko oleh oleh yang ada di pusat kota Rantepao atau Torajanya, bahkan ada beberapa souvernir seperti pisau /parang khas Toraja kalau bisa nawar bisa lebih murah dari harga marketplace dan barang yang dijual pun tersedia berbagai macam kualitas dan bahan,
selisih harganya lumayan juga dan penjualnya ramah ramah dan bersahabat."
ChIJqT4iSqHpky0RKXyR5A7BxFk,Restye Christian,5.0,2 bulan lalu,"Tempatnya bgus sekali buat melihat adat Toraja, ada Liang (pemakaman tebing kuno), Tongkonan dan Alang. Kemarin kesini pas hri libur sdah selesai jadi lebih leluasa ngambil gambar."
